wavelength,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9,S6 Post Heat,S6 Preheat,blank
243,3.2250000000000005,0.6,2.325,1.7999999999999998,1.5750000000000002,1.25,1.05,0.9,0.75,0.6749999999999999,0.175,0.1,0.1,0.1,0.1,0.1,0.0,0.2,7.325,10.1,99.0
244,3.35,0.6499999999999999,2.5,1.9,1.7,1.375,1.175,1.0,0.85,0.75,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.2,7.3500000000000005,10.1,98.9
245,3.55,0.7749999999999999,2.7,2.0999999999999996,1.875,1.5499999999999998,1.3250000000000002,1.1500000000000001,0.975,0.875,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.2,7.574999999999999,10.333333333333334,98.9
246,3.825,0.9,2.925,2.35,2.0999999999999996,1.775,1.525,1.3250000000000002,1.1500000000000001,1.025,0.3,0.2,0.1,0.1,0.1,0.1,0.0,0.2,8.0,10.833333333333334,98.9
247,4.05,1.05,3.125,2.55,2.3,1.95,1.675,1.475,1.275,1.1500000000000001,0.3,0.2,0.1,0.1,0.1,0.1,0.0,0.3,8.325000000000001,11.233333333333334,98.9
248,4.2250000000000005,1.1500000000000001,3.3000000000000003,2.7,2.5,2.0749999999999997,1.8250000000000002,1.6,1.375,1.275,0.375,0.2,0.1,0.1,0.1,0.1,0.0,0.3,8.55,11.6,99.0
249,4.4,1.2249999999999999,3.4499999999999997,2.825,2.625,2.25,1.95,1.7,1.5,1.375,0.4,0.25,0.2,0.1,0.1,0.1,0.1,0.3,8.75,11.866666666666667,99.1
250,4.625,1.35,3.7,3.025,2.8000000000000003,2.4,2.1,1.85,1.6500000000000001,1.5,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.3,9.125,12.333333333333334,99.1
251,4.9,1.525,3.925,3.25,3.05,2.5999999999999996,2.3249999999999997,2.0749999999999997,1.8250000000000002,1.675,0.5750000000000001,0.375,0.2,0.2,0.2,0.1,0.1,0.3,9.625,13.1,99.0
252,5.2250000000000005,1.7,4.2250000000000005,3.525,3.3000000000000003,2.85,2.55,2.275,2.025,1.875,0.6749999999999999,0.4,0.3,0.2,0.2,0.2,0.1,0.3,10.225,13.933333333333332,98.8
253,5.550000000000001,1.875,4.425,3.75,3.525,3.05,2.75,2.475,2.225,2.05,0.7749999999999999,0.5,0.3,0.3,0.2,0.2,0.15000000000000002,0.4,10.825,14.699999999999998,98.8
254,5.824999999999999,2.025,4.7,4.0,3.75,3.2750000000000004,2.95,2.675,2.375,2.2,0.875,0.6,0.4,0.3,0.3,0.25,0.2,0.4,11.325,15.4,98.8
255,6.125,2.2,5.0,4.2250000000000005,4.0,3.5,3.1500000000000004,2.85,2.5749999999999997,2.375,1.0,0.7,0.45,0.4,0.3,0.3,0.2,0.4,11.924999999999999,16.133333333333333,98.8
256,6.45,2.375,5.2250000000000005,4.5,4.25,3.75,3.375,3.05,2.7750000000000004,2.5749999999999997,1.1500000000000001,0.8,0.525,0.5,0.4,0.4,0.3,0.5,12.525,17.0,98.8
257,6.824999999999999,2.5749999999999997,5.525,4.75,4.525,4.0,3.6,3.2750000000000004,2.975,2.7750000000000004,1.275,0.95,0.6,0.525,0.5,0.4,0.375,0.6,13.225000000000001,17.900000000000002,98.7
258,7.2250000000000005,2.8,5.875,5.025,4.800000000000001,4.25,3.85,3.525,3.2250000000000005,3.0,1.475,1.1,0.7249999999999999,0.6499999999999999,0.6,0.5,0.45,0.6499999999999999,13.95,18.900000000000002,98.6
259,7.6,3.0,6.2,5.300000000000001,5.1,4.525,4.1,3.7750000000000004,3.45,3.2,1.6500000000000001,1.25,0.875,0.8,0.7,0.6,0.55,0.75,14.675,19.8,98.6
260,7.9,3.175,6.4,5.525,5.300000000000001,4.7250000000000005,4.275,3.95,3.625,3.375,1.7999999999999998,1.375,0.975,0.875,0.8,0.7,0.625,0.85,15.25,20.566666666666666,98.6
261,7.975,3.2750000000000004,6.525,5.6499999999999995,5.425,4.875,4.4,4.05,3.7,3.475,1.9,1.475,1.05,0.95,0.875,0.8,0.7,0.925,15.525,20.933333333333334,98.7
