wavelength,S9 Irrad 1,S9 Irrad 10,S9 Irrad 11,S9 Irrad 12,S9 Irrad 13,S9 Irrad 14,S9 Irrad 15,S9 Irrad 2,S9 Irrad 3,S9 Irrad 4,S9 Irrad 5,S9 Irrad 6,S9 Irrad 6 Redo,S9 Irrad 7,S9 Irrad 8,S9 Irrad 9,S9 Postheat,S9 Postheat Day 1,S9 Preheat,blank
261,2.5,0.5,0.525,0.5,0.475,0.525,0.6,1.4,1.1400000000000001,0.975,0.8,0.8,0.7,0.6,0.5750000000000001,0.5750000000000001,18.240000000000002,16.400000000000002,21.3,16.8
262,2.625,0.6,0.6,0.6,0.5,0.6,0.7,1.5,1.2399999999999998,1.05,0.875,0.9,0.8,0.7,0.6,0.625,18.52,16.7,21.625,17.0
263,2.7250000000000005,0.7,0.7,0.6749999999999999,0.6,0.7,0.8,1.6,1.3400000000000003,1.125,0.975,0.975,0.875,0.8,0.7,0.7,18.78,17.066666666666666,22.125,17.5
264,2.875,0.8,0.8,0.7749999999999999,0.7,0.8,0.9,1.7249999999999999,1.44,1.2249999999999999,1.0750000000000002,1.1,0.975,0.9,0.8,0.8,19.18,17.400000000000002,22.6,17.8
265,3.0,0.9,0.9,0.9,0.8,0.9,1.0,1.875,1.6,1.4,1.2,1.2,1.1,1.0,0.9,0.95,19.54,17.76666666666667,23.1,18.2
266,3.175,1.0750000000000002,1.0750000000000002,1.0,0.95,1.1,1.2,2.0,1.72,1.5,1.3,1.375,1.2249999999999999,1.1500000000000001,1.0750000000000002,1.1,20.04,18.133333333333336,23.525,18.6
267,3.3,1.2,1.2,1.175,1.1,1.2,1.3,2.125,1.9,1.675,1.45,1.5,1.4,1.3,1.2,1.2249999999999999,20.439999999999998,18.466666666666665,24.0,19.0
268,3.425,1.3,1.35,1.3,1.2,1.4,1.5,2.275,2.0,1.8,1.5750000000000002,1.6,1.5,1.4,1.3,1.375,20.740000000000002,18.73333333333333,24.275000000000002,19.2
269,3.5,1.45,1.5,1.4249999999999998,1.3,1.5,1.6,2.35,2.1,1.9,1.675,1.7249999999999999,1.6,1.5499999999999998,1.4249999999999998,1.5,20.96,18.86666666666667,24.525,19.3
270,3.6,1.5750000000000002,1.6,1.5499999999999998,1.45,1.6,1.7,2.425,2.2,2.0,1.775,1.85,1.7249999999999999,1.675,1.5499999999999998,1.6,21.16,19.066666666666666,24.700000000000003,19.5
271,3.7,1.7,1.75,1.7,1.5750000000000002,1.8,1.9,2.525,2.3,2.1,1.875,2.0,1.85,1.775,1.675,1.75,21.46,19.333333333333332,25.025,19.8
272,3.8,1.8,1.875,1.8,1.7,1.9,2.0,2.6,2.4,2.2,1.975,2.1,1.975,1.9,1.775,1.875,21.68,19.566666666666666,25.275,20.0
273,3.8,1.9,1.975,1.9,1.8,2.0,2.1,2.675,2.4,2.225,2.025,2.1750000000000003,2.05,1.975,1.85,1.975,21.72,19.566666666666666,25.3,20.0
274,3.8,2.0,2.0749999999999997,2.0,1.875,2.1,2.2,2.7,2.46,2.3,2.1,2.2,2.1,2.05,1.9249999999999998,2.05,21.72,19.533333333333335,25.275,20.0
275,3.8,2.1,2.1750000000000003,2.1,1.95,2.2,2.3,2.7,2.5,2.3,2.125,2.275,2.2,2.1,2.0,2.125,21.759999999999998,19.533333333333335,25.35,20.0
276,3.9,2.2,2.275,2.2,2.05,2.3,2.4,2.8,2.5799999999999996,2.4,2.2,2.3249999999999997,2.25,2.2,2.1,2.225,21.82,19.6,25.55,20.1
277,3.9,2.275,2.375,2.3,2.1500000000000004,2.4,2.5,2.8,2.6,2.425,2.275,2.4,2.3249999999999997,2.3,2.1750000000000003,2.3,22.04,19.833333333333332,25.700000000000003,20.3
278,3.9,2.3249999999999997,2.425,2.375,2.2,2.5,2.6,2.9,2.62,2.5,2.3,2.5,2.4,2.375,2.225,2.4,22.1,19.86666666666667,25.725,20.4
279,3.9,2.4,2.5,2.425,2.3,2.525,2.675,2.9,2.7,2.5,2.3249999999999997,2.5,2.425,2.4,2.275,2.45,22.160000000000004,19.86666666666667,25.8,20.4
280,3.9,2.5,2.6,2.5,2.4,2.6,2.7249999999999996,2.9,2.7,2.55,2.375,2.5749999999999997,2.5,2.5,2.3499999999999996,2.525,22.18,19.900000000000002,25.825,20.4
281,3.9,2.5,2.6500000000000004,2.6,2.45,2.7,2.8,2.9,2.7,2.6,2.4,2.6,2.6,2.525,2.4,2.6,22.359999999999996,20.099999999999998,26.075,20.6
282,3.9250000000000003,2.6,2.7250000000000005,2.675,2.5,2.8,2.9,2.9,2.7399999999999998,2.6,2.45,2.675,2.6,2.6,2.475,2.675,22.6,20.2,26.25,20.8
283,3.9250000000000003,2.625,2.8,2.7,2.5749999999999997,2.8,2.9250000000000003,2.9,2.7399999999999998,2.6,2.475,2.7,2.6,2.6,2.5,2.7,22.6,20.333333333333332,26.325,20.8
284,3.9250000000000003,2.7,2.8,2.7250000000000005,2.6,2.825,2.975,2.9,2.7199999999999998,2.6,2.475,2.7,2.675,2.625,2.5,2.7,22.72,20.333333333333332,26.4,20.9
285,3.9,2.7,2.8249999999999997,2.8,2.6,2.9,3.025,2.9,2.7600000000000002,2.6,2.5,2.7,2.7,2.7,2.55,2.75,22.740000000000002,20.333333333333332,26.424999999999997,20.9
286,3.9,2.7750000000000004,2.9,2.8,2.7,2.9250000000000003,3.1,2.9,2.7800000000000002,2.625,2.5,2.7,2.7,2.7,2.6,2.8,22.98,20.5,26.499999999999996,21.0
287,3.9,2.8,2.9,2.85,2.7,3.0,3.1,2.9,2.7800000000000002,2.675,2.5,2.75,2.7,2.7,2.625,2.8,23.059999999999995,20.566666666666666,26.575,21.2
