wavelength,blank,S8 Postheat,S8 Preheat,S8 Irrad 1,S8 Irrad 2,S8 Irrad 3,S8 Irrad 4,S8 Irrad 5,S8 Irrad 6,S8 Irrad 7,S8 Irrad 8,S8 Irrad 10,S8 Irrad 11,S8 Irrad 12,S8 Irrad 13,S8 Irrad 14,S8 Irrad 15
326,98.1,41.4,27.025,12.52,10.6,10.425,9.55,8.2,7.175,6.7,5.825,5.975,5.825,5.15,5.15,5.3,5.725
327,98.1,41.38,27.025,12.64,10.775,10.6,9.75,8.4,7.425,6.94,6.025,6.175,6.025,5.3,5.3,5.425,5.9
328,98.2,41.5,27.25,12.82,10.975,10.8,9.975,8.625,7.65,7.18,6.275,6.4,6.3,5.5,5.5,5.625,6.1
329,98.2,41.68,27.525,13.04,11.2,11.025,10.25,8.85,7.95,7.46,6.5,6.65,6.5,5.7,5.7,5.825,6.3
330,98.2,41.92,27.825,13.22,11.45,11.275,10.55,9.125,8.2,7.76,6.775,6.9,6.75,5.9,5.9,6.025,6.525
331,98.2,42.14,28.05,13.44,11.7,11.525,10.825,9.425,8.475,8.06,7.025,7.2,7,6.125,6.1,6.25,6.75
332,98.2,42.26,28.175,13.58,11.9,11.75,11.05,9.625,8.75,8.3,7.225,7.4,7.225,6.3,6.3,6.45,6.95
333,98.2,42.26,28.2,13.66,12.025,11.875,11.25,9.775,8.95,8.5,7.425,7.625,7.425,6.5,6.425,6.625,7.1
334,98.2,42.2,28.2,13.7,12.125,12.05,11.4,9.95,9.15,8.7,7.625,7.8,7.625,6.675,6.6,6.75,7.25
335,98.2,42.26,28.3,13.88,12.35,12.275,11.6,10.225,9.425,9,7.9,8.1,7.85,6.875,6.8,6.95,7.45
336,98.4,42.48,28.475,14.1,12.575,12.575,11.875,10.45,9.725,9.3,8.175,8.375,8.15,7.1,7.025,7.175,7.7
337,98.4,42.64,28.725,14.3,12.825,12.775,12.15,10.725,10.025,9.6,8.425,8.625,8.375,7.325,7.225,7.375,7.95
338,98.5,42.74,28.825,14.44,13,12.975,12.375,10.925,10.325,9.88,8.675,8.9,8.65,7.525,7.425,7.575,8.15
339,98.4,42.8,28.975,14.6,13.225,13.2,12.65,11.175,10.55,10.2,8.925,9.15,8.875,7.75,7.625,7.8,8.35
340,98.4,42.92,29.2,14.82,13.45,13.475,12.95,11.475,10.925,10.5,9.25,9.45,9.175,8,7.9,8.05,8.575
341,98.4,43.16,29.475,15.08,13.725,13.775,13.25,11.8,11.225,10.84,9.575,9.8,9.5,8.3,8.15,8.325,8.85
342,98.4,43.38,29.775,15.3,14.025,14.075,13.575,12.125,11.625,11.22,9.875,10.15,9.825,8.575,8.425,8.625,9.15
343,98.4,43.48,29.825,15.46,14.225,14.275,13.85,12.375,11.9,11.52,10.175,10.45,10.1,8.8,8.65,8.825,9.35
344,98.4,43.44,29.725,15.5,14.3,14.375,13.95,12.5,12.125,11.74,10.325,10.6,10.275,8.925,8.8,8.975,9.55
345,98.4,43.32,29.525,15.5,14.325,14.525,14.025,12.55,12.25,11.94,10.55,10.775,10.45,9.1,8.925,9.075,9.725
346,98.3,43.28,29.55,15.6,14.5,14.75,14.25,12.8,12.475,12.18,10.775,10.975,10.675,9.3,9.1,9.25,9.85
347,98.3,43.42,29.775,15.84,14.8,15,14.625,13.1,12.825,12.5,11.075,11.3,10.975,9.575,9.375,9.55,10.15
348,98.2,43.56,30.05,16.12,15.125,15.3,14.95,13.475,13.2,12.88,11.4,11.7,11.325,9.85,9.65,9.825,10.425
349,98.2,43.72,30.25,16.34,15.375,15.55,15.225,13.7,13.525,13.2,11.7,12.025,11.65,10.15,9.9,10.075,10.65
350,98.1,43.78,30.4,16.5,15.6,15.775,15.5,13.975,13.825,13.5,11.975,12.325,11.925,10.4,10.15,10.35,10.9
