wavelength,Heat Sweep 100C,Heat Sweep 150C,Heat Sweep 200C,Heat Sweep 230,Heat Sweep 50C,Heat Sweep RT
732,51.824999999999996,50.525000000000006,53.075,52.23333333333333,54.599999999999994,49.959999999999994
733,51.825,50.525000000000006,53.075,52.333333333333336,54.675000000000004,50.00000000000001
734,51.825,50.575,53.10000000000001,52.333333333333336,54.675000000000004,50.00000000000001
735,51.9,50.625,53.15,52.333333333333336,54.675,49.980000000000004
736,51.875,50.625,53.175000000000004,52.36666666666667,54.7,50.040000000000006
737,51.949999999999996,50.65,53.225,52.36666666666667,54.725,50.10000000000001
738,52.025000000000006,50.625,53.400000000000006,52.5,54.925,50.14
739,52.05,50.52499999999999,53.5,52.6,55.0,50.260000000000005
740,52.175,50.52499999999999,53.650000000000006,52.699999999999996,55.050000000000004,50.3
741,52.225,50.49999999999999,53.650000000000006,52.800000000000004,55.1,50.339999999999996
742,52.2,50.49999999999999,53.675,52.800000000000004,55.1,50.339999999999996
743,52.2,50.49999999999999,53.75,52.800000000000004,55.15,50.36
744,52.25,50.49999999999999,53.800000000000004,52.833333333333336,55.15,50.379999999999995
745,52.275,50.525,53.800000000000004,52.900000000000006,55.24999999999999,50.46
746,52.3,50.525,53.900000000000006,52.93333333333334,55.3,50.50000000000001
747,52.325,50.525,53.974999999999994,52.93333333333334,55.35,50.519999999999996
748,52.449999999999996,50.575,53.99999999999999,52.93333333333334,55.375,50.58
749,52.449999999999996,50.575,54.025,53.03333333333333,55.4,50.6
750,52.475,50.650000000000006,54.025,53.099999999999994,55.4,50.6
751,52.475,50.72500000000001,54.05,53.099999999999994,55.425,50.6
752,52.55,50.75,54.075,53.133333333333326,55.45,50.6
753,52.575,50.724999999999994,54.125,53.099999999999994,55.45,50.620000000000005
754,52.550000000000004,50.724999999999994,54.099999999999994,53.06666666666666,55.45,50.620000000000005
755,52.45,50.75,54.125,53.133333333333326,55.45,50.699999999999996
756,52.550000000000004,50.8,54.14999999999999,53.133333333333326,55.425,50.620000000000005
757,52.550000000000004,50.8,54.224999999999994,53.166666666666664,55.475,50.64
758,52.599999999999994,50.724999999999994,54.25,53.199999999999996,55.55,50.64
