S1 2 Cm Preheat,,
Default Batch 5,"Date : 15/07/2021, 08:53:35",
Wavelength (nm),ABS,%T
289,0.603,24.9
290,0.601,25.1
291,0.597,25.3
292,0.597,25.3
293,0.597,25.3
294,0.596,25.3
295,0.594,25.4
296,0.593,25.5
297,0.592,25.6
298,0.592,25.6
299,0.592,25.6
300,0.591,25.6
301,0.591,25.7
302,0.59,25.7
303,0.589,25.7
304,0.589,25.8
305,0.585,26
306,0.582,26.2
307,0.578,26.4
308,0.574,26.7
309,0.573,26.7
310,0.573,26.7
311,0.571,26.8
312,0.571,26.9
313,0.568,27.1
314,0.567,27.1
315,0.569,27
316,0.569,27
317,0.567,27.1
318,0.564,27.3
319,0.563,27.3
320,0.563,27.3
321,0.557,27.7
322,0.551,28.1
323,0.55,28.2
324,0.552,28.1
325,0.555,27.8
326,0.557,27.7
327,0.556,27.8
328,0.553,28
329,0.55,28.2
330,0.547,28.4
331,0.543,28.6
332,0.542,28.7
333,0.543,28.7
334,0.544,28.6
335,0.543,28.7
336,0.54,28.8
337,0.539,28.9
338,0.539,28.9
339,0.538,29
340,0.534,29.2
341,0.53,29.5
342,0.528,29.7
343,0.528,29.6
344,0.532,29.4
345,0.535,29.2
346,0.535,29.2
347,0.533,29.3
348,0.53,29.5
349,0.528,29.7
350,0.527,29.7
351,0.522,30.1
352,0.521,30.1
353,0.521,30.1
354,0.52,30.2
355,0.52,30.2
356,0.52,30.2
357,0.52,30.2
358,0.517,30.4
359,0.516,30.5
360,0.521,30.1
361,0.531,29.4
362,0.533,29.3
363,0.533,29.3
364,0.532,29.4
365,0.53,29.5
366,0.528,29.6
367,0.526,29.8
368,0.525,29.9
369,0.523,30
370,0.522,30.1
371,0.521,30.1
372,0.519,30.3
373,0.518,30.3
374,0.518,30.4
375,0.519,30.3
376,0.523,30
377,0.527,29.7
378,0.53,29.5
379,0.53,29.5
380,0.53,29.5
381,0.528,29.6
382,0.528,29.6
383,0.528,29.6
384,0.528,29.6
385,0.529,29.6
386,0.529,29.6
387,0.529,29.6
388,0.529,29.6
389,0.529,29.6
390,0.522,30.1
391,0.521,30.1
392,0.519,30.3
393,0.518,30.3
394,0.518,30.3
395,0.517,30.4
396,0.514,30.6
397,0.512,30.7
398,0.512,30.7
399,0.512,30.7
400,0.511,30.9
401,0.51,30.9
402,0.509,31
403,0.508,31
404,0.509,31
405,0.509,31
406,0.511,30.9
407,0.51,30.9
408,0.509,30.9
409,0.509,31
410,0.509,31
411,0.509,31
412,0.509,31
413,0.508,31
414,0.508,31
415,0.508,31.1
416,0.507,31.1
417,0.506,31.2
418,0.505,31.2
419,0.504,31.3
420,0.504,31.3
421,0.505,31.2
422,0.505,31.2
423,0.505,31.2
424,0.505,31.2
425,0.507,31.1
426,0.508,31.1
427,0.508,31.1
428,0.508,31.1
429,0.508,31.1
430,0.508,31.1
431,0.507,31.1
432,0.507,31.1
433,0.507,31.1
434,0.507,31.2
435,0.506,31.2
436,0.506,31.2
437,0.505,31.2
438,0.505,31.3
439,0.504,31.3
440,0.504,31.3
441,0.504,31.4
442,0.504,31.4
443,0.504,31.4
444,0.502,31.4
445,0.502,31.4
446,0.502,31.5
447,0.502,31.5
448,0.501,31.5
449,0.501,31.5
450,0.501,31.5
451,0.5,31.6
452,0.5,31.6
453,0.5,31.6
454,0.5,31.6
455,0.499,31.7
456,0.498,31.8
457,0.495,32
458,0.493,32.2
459,0.492,32.2
460,0.493,32.1
461,0.494,32.1
462,0.494,32.1
463,0.494,32.1
464,0.492,32.2
465,0.491,32.3
466,0.491,32.3
467,0.491,32.3
468,0.49,32.3
469,0.49,32.4
470,0.489,32.5
471,0.486,32.7
472,0.484,32.8
473,0.483,32.9
474,0.483,32.9
475,0.481,33
476,0.48,33.1
477,0.477,33.3
478,0.475,33.5
479,0.474,33.6
480,0.472,33.7
481,0.466,34.2
482,0.461,34.6
483,0.46,34.7
484,0.464,34.4
485,0.467,34.1
486,0.466,34.2
487,0.466,34.2
488,0.466,34.2
489,0.465,34.3
490,0.461,34.6
491,0.461,34.6
492,0.462,34.5
493,0.463,34.4
494,0.46,34.7
495,0.458,34.9
496,0.456,35
497,0.455,35.1
498,0.455,35.1
499,0.453,35.2
500,0.452,35.3
501,0.45,35.4
502,0.448,35.6
503,0.447,35.7
504,0.445,35.9
505,0.444,35.9
506,0.441,36.2
507,0.438,36.5
508,0.437,36.6
509,0.436,36.6
510,0.435,36.7
511,0.434,36.8
512,0.434,36.8
513,0.434,36.8
514,0.432,37
515,0.43,37.1
