wavelength,Tim Quartz Clear,Tim Quartz Dark
748,58.55,43.5
749,58.55,43.55
750,58.574999999999996,43.824999999999996
751,58.574999999999996,43.9
752,58.65,44.05
753,58.65,44.05
754,58.675,44.15
755,58.7,44.25
756,58.724999999999994,44.375
757,58.650000000000006,44.425
758,58.675,44.775000000000006
759,58.775,44.85
760,58.775,44.89999999999999
761,58.800000000000004,45.175000000000004
762,58.85,45.3
763,58.95,45.65
764,59.4,46.324999999999996
765,59.85,46.8
766,59.800000000000004,46.775
767,58.87500000000001,46.349999999999994
768,58.474999999999994,46.05
769,58.425000000000004,46.075
770,58.4,46.075
771,58.6,46.175
772,58.575,46.325
773,58.6,46.574999999999996
774,58.55,46.574999999999996
775,58.675,46.75
776,58.775000000000006,46.974999999999994
777,58.900000000000006,47.0
778,58.900000000000006,47.025
779,58.95,47.4
780,58.975,47.50000000000001
781,59.075,47.775
782,59.075,47.824999999999996
783,59.25,47.97500000000001
784,59.224999999999994,48.45
785,59.25,48.474999999999994
786,59.099999999999994,48.574999999999996
787,58.9,48.575
788,58.22500000000001,48.3
789,57.875,48.025000000000006
790,57.55,47.85
791,57.225,47.449999999999996
792,56.99999999999999,47.2
793,56.95,47.125
794,57.0,47.225
795,57.425,47.6
796,58.0,48.25
797,58.599999999999994,48.925
798,59.150000000000006,49.525
799,59.6,50.00000000000001
800,59.8,50.349999999999994
801,59.875,50.775
802,60.05,51.1
803,60.22500000000001,51.425
804,60.4,51.800000000000004
805,60.475,51.925
806,60.625,52.15
807,60.724999999999994,52.349999999999994
808,60.724999999999994,52.47500000000001
809,60.724999999999994,52.55
810,60.724999999999994,52.65
811,60.75,52.699999999999996
812,60.75,52.724999999999994
813,60.724999999999994,52.800000000000004
814,60.75,52.875
815,60.7,53.050000000000004
816,60.775000000000006,53.1
817,60.8,53.1
818,60.875,53.375
819,60.95,53.75
820,61.1,53.925
821,61.425,54.625
822,62.3,55.875
823,63.825,57.675000000000004
824,64.525,58.45
825,64.65,58.15
826,62.099999999999994,55.474999999999994
827,59.175,52.699999999999996
828,58.625,52.449999999999996
829,60.075,54.05
830,60.650000000000006,54.35
831,59.574999999999996,52.875
832,58.150000000000006,51.724999999999994
833,57.875,52.25
834,59.425,53.95
835,61.224999999999994,55.849999999999994
836,62.1,56.35
837,61.525,55.25
838,59.77499999999999,53.475
839,58.575,52.575
840,58.375,52.675
841,58.9,53.6
842,59.875,54.45
843,60.25,54.675000000000004
844,60.075,54.65
845,59.699999999999996,54.45
846,59.675000000000004,54.275
847,59.725,54.35
848,59.825,54.425
849,59.875,54.6
850,59.925,54.75
851,60.099999999999994,55.0
852,60.224999999999994,55.375
853,60.325,55.425
854,60.349999999999994,55.7
855,60.3,55.825
856,60.275,55.849999999999994
857,60.45,55.85000000000001
858,60.550000000000004,55.85
859,60.5,55.800000000000004
860,60.7,55.875
861,60.8,56.1
862,60.900000000000006,56.225
863,60.900000000000006,56.575
864,60.925,56.975
865,61.0,57.025
866,61.025,56.99999999999999
867,61.125,57.075
868,61.175,57.125
869,61.2,57.150000000000006
870,61.25,57.150000000000006
871,61.349999999999994,57.349999999999994
872,61.45,57.45
873,61.5,57.625
874,61.675000000000004,57.675
875,61.724999999999994,57.875
876,61.800000000000004,57.925
877,61.800000000000004,58.00000000000001
878,61.85,58.175000000000004
879,62.025,58.575
880,62.35,59.375
881,63.4,60.5
882,65.10000000000001,62.45
883,66.325,63.55
884,66.725,63.6
885,65.57499999999999,60.800000000000004
886,61.150000000000006,56.975
887,58.05,54.075
888,57.175,53.900000000000006
889,57.974999999999994,54.85
890,58.925,55.85
891,59.55,56.599999999999994
892,60.075,57.1
893,60.324999999999996,57.45
894,60.800000000000004,57.8
895,61.55,58.75000000000001
896,62.675,60.475
897,64.075,60.7
898,63.925,60.349999999999994
899,61.675,58.525
900,59.75,56.6
901,58.975,56.375
902,59.2,56.77499999999999
903,59.9,57.574999999999996
904,61.075,58.77499999999999
905,63.25,61.3
906,64.07499999999999,62.525
907,64.225,62.025000000000006
908,62.325,59.075
909,59.199999999999996,56.349999999999994
910,57.925,55.675
911,58.550000000000004,56.425
912,59.650000000000006,57.45
913,60.599999999999994,58.4
914,61.35,59.25
915,62.125,60.05
916,63.525,61.474999999999994
917,65.39999999999999,62.7
918,65.60000000000001,63.425
919,65.125,62.2
920,62.025000000000006,58.75000000000001
921,58.975,56.075
922,57.949999999999996,55.6
923,58.475,56.65
924,59.375,57.45
925,59.775,57.8
926,60.0,57.824999999999996
927,60.37500000000001,58.099999999999994
928,60.575,58.45
929,60.875,58.55
930,60.95,58.875
931,61.325,59.199999999999996
932,61.525000000000006,59.675
933,61.6,59.724999999999994
934,61.7,59.775000000000006
935,61.7,59.825
936,61.825,59.974999999999994
937,62.375,60.425000000000004
938,63.125,61.25
939,63.650000000000006,61.875
940,63.675,62.0
941,63.425,61.775
942,62.675000000000004,60.775
943,61.949999999999996,60.35
