S5,Unnamed: 1,Unnamed: 2
Default Batch 1,"Date : 27/04/2021, 12:58:03",
Wavelength (nm),ABS,%T
408,0.29,51.2
409,0.289,51.4
410,0.288,51.5
411,0.287,51.6
412,0.287,51.6
413,0.287,51.7
414,0.286,51.7
415,0.284,52
416,0.284,52
417,0.284,52.1
418,0.283,52.1
419,0.282,52.3
420,0.281,52.4
421,0.28,52.5
422,0.28,52.5
423,0.28,52.5
424,0.279,52.6
425,0.279,52.6
426,0.279,52.6
427,0.279,52.6
428,0.278,52.7
429,0.277,52.9
430,0.276,52.9
431,0.276,52.9
432,0.276,53
433,0.273,53.3
434,0.273,53.3
435,0.273,53.3
436,0.273,53.3
437,0.273,53.3
438,0.273,53.4
439,0.272,53.5
440,0.271,53.5
441,0.271,53.6
442,0.27,53.7
443,0.27,53.8
444,0.269,53.8
445,0.269,53.9
446,0.269,53.9
447,0.268,54
448,0.267,54.1
449,0.266,54.2
450,0.265,54.3
451,0.264,54.4
452,0.264,54.5
453,0.263,54.6
454,0.262,54.6
455,0.262,54.7
456,0.261,54.8
457,0.261,54.9
458,0.26,55
459,0.259,55.1
460,0.259,55.1
461,0.258,55.2
462,0.256,55.4
463,0.256,55.5
464,0.256,55.5
465,0.255,55.5
466,0.255,55.6
467,0.254,55.8
468,0.253,55.8
469,0.253,55.9
470,0.25,56.2
471,0.249,56.3
472,0.248,56.4
473,0.248,56.5
474,0.247,56.6
475,0.245,56.9
476,0.244,57.1
477,0.243,57.1
478,0.242,57.3
479,0.24,57.5
480,0.238,57.8
481,0.236,58.1
482,0.235,58.2
483,0.235,58.2
484,0.235,58.2
485,0.235,58.2
486,0.234,58.4
487,0.234,58.4
488,0.233,58.5
489,0.23,58.9
490,0.228,59.1
491,0.228,59.1
492,0.227,59.2
493,0.226,59.5
494,0.224,59.7
495,0.222,59.9
496,0.222,60
497,0.221,60.1
498,0.22,60.3
499,0.218,60.6
500,0.217,60.7
501,0.215,60.9
502,0.214,61.1
503,0.213,61.3
504,0.212,61.4
505,0.212,61.4
506,0.212,61.4
507,0.21,61.7
508,0.208,61.9
509,0.207,62.1
510,0.206,62.2
511,0.206,62.3
512,0.205,62.3
513,0.205,62.4
514,0.204,62.5
515,0.203,62.6
516,0.202,62.9
517,0.202,62.9
518,0.201,62.9
519,0.201,62.9
520,0.201,63
521,0.199,63.2
522,0.199,63.3
523,0.197,63.5
524,0.196,63.7
525,0.194,64
526,0.193,64.2
527,0.192,64.2
528,0.192,64.2
529,0.193,64.2
530,0.193,64.2
531,0.192,64.2
532,0.192,64.2
533,0.192,64.3
534,0.192,64.3
535,0.19,64.5
536,0.189,64.7
537,0.188,64.8
538,0.188,64.9
539,0.186,65.1
540,0.185,65.3
541,0.185,65.4
542,0.185,65.3
543,0.185,65.3
544,0.185,65.4
545,0.184,65.5
546,0.184,65.5
547,0.184,65.5
548,0.183,65.5
549,0.182,65.8
550,0.181,66
551,0.18,66
552,0.179,66.3
553,0.178,66.4
554,0.178,66.4
555,0.178,66.4
556,0.177,66.5
557,0.176,66.6
558,0.175,66.8
559,0.174,67
560,0.174,67
561,0.174,67
562,0.174,67
563,0.173,67.1
564,0.172,67.2
565,0.172,67.3
566,0.172,67.3
567,0.172,67.4
568,0.171,67.4
569,0.169,67.7
570,0.169,67.8
571,0.169,67.8
572,0.169,67.8
573,0.169,67.8
574,0.168,67.9
575,0.168,67.9
576,0.167,68
577,0.167,68
578,0.166,68.2
579,0.166,68.2
580,0.166,68.3
581,0.165,68.4
582,0.163,68.7
583,0.162,68.8
584,0.162,68.8
585,0.162,68.9
586,0.161,69.1
587,0.16,69.1
588,0.16,69.2
589,0.159,69.3
590,0.159,69.3
591,0.159,69.4
592,0.158,69.5
593,0.157,69.6
594,0.156,69.8
595,0.155,70
596,0.155,70.1
597,0.155,70
598,0.155,70
599,0.155,70
600,0.154,70.2
601,0.152,70.4
602,0.151,70.6
603,0.15,70.7
604,0.15,70.7
605,0.15,70.7
606,0.15,70.7
607,0.15,70.7
608,0.149,70.9
609,0.148,71.1
610,0.148,71.2
611,0.148,71.2
612,0.148,71.2
613,0.147,71.2
614,0.147,71.3
615,0.146,71.5
616,0.145,71.7
617,0.144,71.8
618,0.144,71.8
619,0.144,71.9
620,0.142,72
621,0.142,72.1
622,0.142,72.2
623,0.141,72.3
624,0.14,72.4
625,0.138,72.7
626,0.138,72.8
627,0.138,72.8
628,0.138,72.8
629,0.138,72.8
630,0.138,72.8
631,0.137,73
632,0.136,73.1
633,0.135,73.2
634,0.135,73.2
635,0.135,73.3
636,0.135,73.3
637,0.134,73.4
638,0.134,73.5
639,0.133,73.6
640,0.132,73.8
641,0.132,73.9
642,0.131,74
643,0.13,74.1
644,0.13,74.2
645,0.13,74.2
646,0.129,74.3
647,0.129,74.4
648,0.128,74.5
649,0.128,74.5
650,0.127,74.6
651,0.127,74.6
652,0.127,74.7
653,0.126,74.9
654,0.125,74.9
655,0.124,75.1
656,0.124,75.2
657,0.123,75.3
658,0.123,75.4
659,0.123,75.4
660,0.123,75.4
661,0.123,75.4
662,0.123,75.4
663,0.123,75.4
664,0.123,75.4
665,0.122,75.4
666,0.121,75.6
667,0.12,75.9
668,0.12,75.9
669,0.12,75.9
670,0.12,75.9
671,0.119,76
672,0.119,76.1
673,0.119,76.1
674,0.119,76.1
675,0.118,76.3
676,0.117,76.3
677,0.117,76.4
678,0.116,76.6
679,0.115,76.7
680,0.115,76.7
681,0.115,76.7
682,0.115,76.8
683,0.115,76.8
684,0.115,76.8
685,0.114,76.9
686,0.114,77
687,0.114,77
688,0.113,77
689,0.113,77.1
690,0.113,77.1
691,0.113,77.2
692,0.112,77.2
693,0.112,77.3
694,0.112,77.3
695,0.111,77.4
696,0.111,77.5
697,0.109,77.7
698,0.11,77.7
699,0.11,77.7
700,0.11,77.7
701,0.11,77.7
702,0.109,77.7
703,0.11,77.7
704,0.109,77.7
705,0.109,77.7
706,0.109,77.7
707,0.109,77.8
708,0.109,77.9
709,0.108,78
710,0.108,78
711,0.108,78
712,0.108,78
713,0.108,78.1
714,0.108,78.1
715,0.107,78.1
716,0.107,78.1
717,0.107,78.1
718,0.107,78.2
719,0.107,78.2
720,0.107,78.1
721,0.107,78.1
722,0.107,78.1
723,0.107,78.1
724,0.107,78.1
725,0.107,78.1
726,0.107,78.1
