wavelength,Tim Quartz Clear,Tim Quartz Dark
290,0.38325,0.9097500000000001
291,0.38,0.9055000000000001
292,0.37625000000000003,0.903
293,0.37475,0.9022500000000001
294,0.37075,0.902
295,0.36624999999999996,0.89775
296,0.3655,0.8955
297,0.363,0.8955
298,0.36150000000000004,0.89425
299,0.36175,0.8927499999999999
300,0.36175,0.893
301,0.36150000000000004,0.89275
302,0.36074999999999996,0.89225
303,0.359,0.88925
304,0.358,0.886
305,0.357,0.88325
306,0.355,0.879
307,0.353,0.87425
308,0.35024999999999995,0.8685
309,0.34875,0.863
310,0.34775,0.86
311,0.347,0.85675
312,0.347,0.8527499999999999
313,0.346,0.84775
314,0.3445,0.84125
315,0.34275,0.8362499999999999
316,0.34249999999999997,0.83475
317,0.34299999999999997,0.8342499999999999
318,0.34324999999999994,0.8274999999999999
319,0.34199999999999997,0.8194999999999999
320,0.341,0.81425
321,0.341,0.80925
322,0.3385,0.8007500000000001
323,0.33475,0.7922500000000001
324,0.334,0.787
325,0.33475,0.786
326,0.33625,0.78325
327,0.337,0.7782500000000001
328,0.337,0.77375
329,0.336,0.7675
330,0.33475000000000005,0.761
331,0.333,0.75475
332,0.33125,0.74875
333,0.331,0.7457499999999999
334,0.331,0.74325
335,0.331,0.74
336,0.33125,0.7354999999999999
337,0.3305,0.7305
338,0.3305,0.7265
339,0.33025000000000004,0.723
340,0.33,0.71825
341,0.3285,0.7129999999999999
342,0.32675,0.70775
343,0.32575000000000004,0.7037499999999999
344,0.3255,0.702
345,0.32875,0.7022499999999999
346,0.33025000000000004,0.7022499999999999
347,0.3305,0.7
348,0.32925000000000004,0.6952499999999999
349,0.3285,0.6915
350,0.3285,0.6884999999999999
351,0.32725,0.68425
352,0.327,0.68125
353,0.32675,0.67825
354,0.32675,0.6777500000000001
355,0.32575000000000004,0.6750000000000002
356,0.32575000000000004,0.6745000000000001
357,0.32625000000000004,0.6732500000000001
358,0.328,0.6732500000000001
359,0.3275,0.6717500000000001
360,0.3275,0.66975
361,0.32975,0.671
362,0.3345,0.677
363,0.33725000000000005,0.6779999999999999
364,0.33725000000000005,0.6777500000000001
365,0.3375,0.67625
366,0.33675000000000005,0.675
367,0.33625,0.67475
368,0.33625,0.67475
369,0.336,0.67325
370,0.33425,0.6725
371,0.33425,0.671
372,0.335,0.671
373,0.3345,0.6705
374,0.3345,0.6692500000000001
375,0.3345,0.6692500000000001
376,0.33425,0.6685
377,0.33625,0.6717500000000001
378,0.338,0.67575
379,0.341,0.67825
380,0.3415,0.6780000000000002
381,0.341,0.6775
382,0.3405,0.676
383,0.3405,0.676
384,0.3415,0.676
385,0.342,0.6765000000000001
386,0.34175,0.6765000000000001
387,0.34225,0.67725
388,0.34275,0.6787500000000001
389,0.3435,0.6785
390,0.3325,0.667
391,0.327,0.6637500000000001
392,0.32625000000000004,0.6632500000000001
393,0.32625000000000004,0.6635000000000001
394,0.32575000000000004,0.6635000000000001
395,0.32625000000000004,0.66425
396,0.32625000000000004,0.6647500000000001
397,0.32575000000000004,0.665
398,0.32525,0.6645000000000001
399,0.3245,0.6645000000000001
400,0.323,0.66475
401,0.32225,0.66475
402,0.321,0.66475
403,0.31975000000000003,0.66475
404,0.31925000000000003,0.6655000000000001
405,0.32,0.6677500000000001
406,0.32125000000000004,0.6695
407,0.3215,0.671
408,0.32125,0.671
409,0.32025,0.6707500000000001
410,0.3195,0.6705000000000001
411,0.31975000000000003,0.6715
412,0.31975000000000003,0.67325
413,0.31825000000000003,0.674
414,0.317,0.6737500000000001
415,0.3165,0.6737500000000001
416,0.31625,0.674
417,0.31525000000000003,0.6745
418,0.3135,0.6745
419,0.31125,0.6745
420,0.30975,0.675
421,0.30874999999999997,0.6759999999999999
422,0.30924999999999997,0.6785000000000001
423,0.30975,0.68025
424,0.30975,0.681
425,0.30975,0.6825
426,0.31,0.685
427,0.31024999999999997,0.6875
428,0.311,0.6882499999999999
429,0.31075,0.6890000000000001
430,0.3105,0.68975
431,0.31024999999999997,0.6900000000000001
432,0.3095,0.69075
433,0.3095,0.69075
434,0.30924999999999997,0.6912499999999999
435,0.30874999999999997,0.69225
436,0.30874999999999997,0.693
437,0.30775,0.6942499999999999
438,0.307,0.695
439,0.30625,0.695
440,0.305,0.695
441,0.3035,0.6954999999999999
442,0.3035,0.69625
443,0.30425,0.69825
444,0.3045,0.6994999999999999
445,0.304,0.7
446,0.3035,0.7
447,0.303,0.70025
448,0.303,0.701
449,0.303,0.702
450,0.30324999999999996,0.703
451,0.303,0.7047499999999999
452,0.303,0.7052499999999999
453,0.303,0.706
454,0.30274999999999996,0.7074999999999999
455,0.30324999999999996,0.70875
456,0.30274999999999996,0.7092499999999999
