wavelength,S7 Clean,S7 Unclean
262,0.68425,0.663
263,0.6755,0.655
264,0.666,0.64625
265,0.6577500000000001,0.6385000000000001
266,0.649,0.6292500000000001
267,0.64125,0.622
268,0.63575,0.6167499999999999
269,0.6315,0.613
270,0.627,0.6085
271,0.62175,0.6025
272,0.619,0.60025
273,0.61925,0.60075
274,0.61925,0.60175
275,0.61875,0.6012500000000001
276,0.6167499999999999,0.598
277,0.6152500000000001,0.5957499999999999
278,0.6147499999999999,0.595
279,0.6147499999999999,0.595
280,0.6127499999999999,0.5934999999999999
281,0.6105,0.5892499999999999
282,0.60825,0.588
283,0.60825,0.5874999999999999
284,0.60825,0.5872499999999999
285,0.60775,0.587
286,0.6064999999999999,0.584
287,0.60525,0.5834999999999999
288,0.605,0.583
289,0.603,0.5822499999999999
290,0.59875,0.5774999999999999
291,0.597,0.5765
292,0.5965,0.5765
293,0.5965,0.576
294,0.59425,0.5744999999999999
295,0.592,0.5732499999999999
296,0.59075,0.572
297,0.5904999999999999,0.5705
298,0.5902499999999999,0.57075
299,0.591,0.5714999999999999
300,0.591,0.5712499999999999
301,0.5902499999999999,0.5687499999999999
302,0.5892499999999999,0.56675
303,0.5882499999999999,0.5665
304,0.5865,0.56375
305,0.585,0.56075
306,0.58,0.559
307,0.57675,0.55525
308,0.5734999999999999,0.5515000000000001
309,0.5722499999999999,0.5505
310,0.5722499999999999,0.5505
311,0.5715,0.5497500000000001
312,0.5707499999999999,0.5485
313,0.5687499999999999,0.546
314,0.56575,0.5435000000000001
315,0.5662499999999999,0.5455
316,0.5675,0.5465
317,0.5665,0.5437500000000001
318,0.5635,0.5407500000000001
319,0.5627500000000001,0.54025
320,0.5627500000000001,0.54
321,0.558,0.5345
322,0.551,0.5285
323,0.55,0.5269999999999999
324,0.5525,0.52975
325,0.5537500000000001,0.531
326,0.5545000000000001,0.532
327,0.5545000000000001,0.531
328,0.5525,0.52875
329,0.5495,0.52575
330,0.54625,0.522
331,0.54375,0.5195000000000001
332,0.5435000000000001,0.519
333,0.544,0.52
334,0.5447500000000001,0.51975
335,0.5437500000000001,0.51925
336,0.54225,0.51675
337,0.541,0.5157499999999999
338,0.541,0.5155000000000001
339,0.5395,0.51375
340,0.537,0.51025
341,0.534,0.507
342,0.5322500000000001,0.5045
343,0.5335000000000001,0.505
344,0.5365,0.5085
345,0.5382500000000001,0.5102500000000001
346,0.5382500000000001,0.50975
347,0.5355000000000001,0.507
348,0.534,0.504
349,0.533,0.5035
350,0.5317500000000001,0.502
351,0.53025,0.50025
352,0.52925,0.499
353,0.52775,0.498
354,0.527,0.49675
355,0.52625,0.49650000000000005
356,0.5275,0.4985
357,0.5295000000000001,0.49975
358,0.528,0.49924999999999997
359,0.52725,0.49775
360,0.53025,0.5025
361,0.53775,0.5085
362,0.5395000000000001,0.50925
363,0.5385000000000001,0.51
364,0.53775,0.5075000000000001
365,0.53625,0.506
366,0.5367500000000001,0.50575
367,0.5355000000000001,0.50525
368,0.53325,0.50225
369,0.5315000000000001,0.50025
370,0.53125,0.5
371,0.53125,0.49950000000000006
372,0.53125,0.49874999999999997
373,0.52975,0.49775
374,0.529,0.49724999999999997
375,0.52875,0.4965
376,0.5345,0.50075
377,0.539,0.5045000000000001
378,0.53925,0.5085
379,0.539,0.50825
380,0.53825,0.50725
381,0.5375000000000001,0.50625
382,0.538,0.50625
383,0.53825,0.5065
384,0.5385,0.50675
385,0.54,0.5075
386,0.5407500000000001,0.5095
387,0.5415000000000001,0.50975
388,0.54125,0.508
389,0.54,0.50775
390,0.5322500000000001,0.5005000000000001
391,0.5289999999999999,0.495
392,0.52725,0.49224999999999997
393,0.52675,0.4915
394,0.52675,0.49175
395,0.52625,0.49150000000000005
396,0.5242500000000001,0.491
397,0.52275,0.49
398,0.52275,0.48975
399,0.52275,0.48949999999999994
400,0.522,0.488
401,0.52075,0.48775
402,0.52,0.487
403,0.52025,0.48674999999999996
404,0.5205,0.48775
405,0.5215000000000001,0.48824999999999996
406,0.52125,0.48824999999999996
407,0.52075,0.488
408,0.52025,0.4875
409,0.52,0.48675
410,0.52,0.48675
411,0.52,0.487
412,0.519,0.487
413,0.5185,0.487
414,0.518,0.487
415,0.5175000000000001,0.48649999999999993
416,0.5165,0.48524999999999996
417,0.51525,0.48475
