Wavelength,PreheatTrans,PostheatTrans,Irrad1Trans,Irrad2Trans,Irrad3Trans,Irrad4Trans,Irrad5Trans,Irrad6Trans,Irrad7Trans,Irrad8Trans,Irrad9Trans,Irrad10Trans,Irrad11Trans,Irrad12Trans,Irrad13Trans,Irrad14Trans,Irrad15Trans
817,59.13,56.45,50.18,50.18,52.58,52.43,51.7,50.825,50.4,48.98,48.98,50.25,50.48,48.55,47.05,48.53,48.98
818,59.23,56.45,50.26,50.26,52.65,52.48,52.08,50.9,50.66,49.15,49.15,50.325,50.5,48.6,47.05,48.63,48.98
819,59.3,56.48,50.5,50.5,52.8,52.5,52.13,51.05,50.7,49.2,49.2,50.425,50.55,48.78,47.2,48.95,49.13
820,59.43,56.6,50.7,50.7,52.88,52.6,52.35,51.225,50.76,49.3,49.3,50.775,50.63,49.1,47.33,49.35,49.15
821,59.68,56.8,51.12,51.12,53.05,52.95,52.53,51.4,51.12,49.6,49.6,51.075,51.1,49.23,47.5,49.5,49.5
822,60.33,57.58,51.56,51.56,53.68,53.73,53.2,52.05,51.88,49.88,49.88,51.625,51.65,49.73,48,49.98,49.98
823,60.85,58.2,51.98,51.98,54.03,54.5,53.7,52.975,52.5,50.15,50.15,52.325,52.25,50,48.48,50.58,50.65
824,60.53,58.13,51.84,51.84,53.95,54.45,53.25,52.975,52.4,50.23,50.23,52.325,52.28,50.08,48.35,50.5,50.63
825,60.25,57.38,51.8,51.8,53.8,54.15,52.9,52.875,52.24,50,50,51.65,52.18,50.03,47.95,50.25,50.25
826,60.05,57.05,51.58,51.58,53.75,53.83,52.93,52.525,51.94,50.15,50.15,51.5,51.6,49.9,47.95,50.18,50.05
827,60.03,56.83,51.42,51.42,53.58,53.5,52.85,52.3,51.66,50.33,50.33,51.325,51.48,49.93,47.93,50.03,49.9
828,60.18,57,51.42,51.42,53.58,53.5,52.85,52.325,51.78,50.4,50.4,51.525,51.58,49.95,48.18,50.08,50.13
829,60.1,57.1,51.46,51.46,53.28,53.5,52.85,52.325,51.78,50.45,50.45,51.55,51.58,49.98,48.18,50.2,50.2
830,60.1,57,51.46,51.46,53.28,53.45,52.83,52.225,51.76,50.45,50.45,51.575,51.5,49.95,48.18,50.08,50.1
831,60.13,56.88,51.44,51.44,53.55,53.38,52.85,52.175,51.72,50.55,50.55,51.475,51.43,49.95,48.2,50.08,50.05
832,60.15,56.63,51.38,51.38,53.55,53.4,52.83,52.175,51.66,50.63,50.63,51.475,51.43,50.08,48.28,50.05,49.98
833,60.28,56.83,51.4,51.4,53.7,53.43,53.03,52.375,51.8,50.75,50.75,51.675,51.5,50.13,48.5,50.2,50.05
834,60.48,57.28,51.7,51.7,53.88,53.85,53.5,52.65,52.26,50.85,50.85,51.825,51.78,50.25,48.75,50.55,50.4
835,60.58,57.6,51.76,51.76,54.08,54.23,53.68,52.975,52.66,50.95,50.95,52.25,52.2,50.55,48.78,50.73,50.68
836,60.45,57.4,51.7,51.7,54.05,54.05,53.63,52.95,52.64,50.98,50.98,52.25,52.23,50.5,48.75,50.6,50.6
837,60.45,57.25,51.7,51.7,54.05,53.93,53.6,52.925,52.48,51.03,51.03,52.2,52.13,50.5,48.78,50.5,50.55
838,60.45,57.05,51.7,51.7,53.98,53.83,53.5,52.925,52.32,51.1,51.1,52.05,51.9,50.55,48.73,50.45,50.45
839,60.4,56.93,51.7,51.7,53.95,53.88,53.43,52.95,52.28,51.18,51.18,52.1,51.85,50.6,48.75,50.48,50.48
840,60.55,56.88,51.7,51.7,54.03,53.95,53.43,53,52.34,51.28,51.28,52.1,52.05,50.73,48.85,50.53,50.48
841,60.55,56.98,51.74,51.74,54.08,54.13,53.43,53.125,52.54,51.43,51.43,52.25,52.1,50.78,48.85,50.65,50.58
842,60.5,56.98,51.84,51.84,54.05,54.1,53.48,53.175,52.56,51.33,51.33,52.3,52.23,50.88,48.9,50.7,50.6
843,60.53,56.98,51.86,51.86,54,54.1,53.5,53.175,52.66,51.33,51.33,52.325,52.28,50.95,48.9,50.63,50.63
844,60.48,56.98,51.86,51.86,54.08,54.1,53.63,53.225,52.74,51.38,51.38,52.375,52.25,50.95,49.03,50.7,50.73
845,60.53,56.9,51.84,51.84,54.05,54.13,53.65,53.2,52.86,51.4,51.4,52.35,52.3,51.05,49.05,50.85,50.68
846,60.53,57,51.9,51.9,54.1,54.13,53.78,53.4,52.78,51.5,51.5,52.375,52.38,50.98,49.03,50.98,50.73
847,60.58,57,51.9,51.9,54.18,54.05,53.8,53.95,52.8,51.68,51.68,52.35,52.35,50.98,49.13,51.15,50.75
848,60.6,56.93,51.86,51.86,54.18,54.13,54.03,53.85,52.94,51.75,51.75,52.35,52.35,51,48.95,51.08,51.03
849,60.6,56.9,51.88,51.88,54.18,54.15,54,53.85,53.02,51.75,51.75,52.325,52.35,51.03,49.23,51.13,51.05
850,60.88,56.88,51.78,51.78,54.45,54.45,54,53.825,53.2,51.8,51.8,52.5,52.4,51.1,49.23,51.2,51
851,60.78,56.9,51.76,51.76,54.38,54.48,54.1,53.825,53.24,51.75,51.75,52.525,52.48,51.13,49.28,51.1,51.2
852,60.85,56.95,51.84,51.84,54.45,54.43,54.05,53.9,53.3,51.93,51.93,52.525,52.58,51.23,49.35,51.23,51.2
853,60.95,57.15,51.88,51.88,54.45,54.6,54.38,53.975,53.3,52.08,52.08,52.65,52.68,51.3,49.35,51.25,51.25
