S9 Preheat,,
S9 Preheat 1,"Date : 28/07/2021, 14:46:54",
Wavelength (nm),ABS,%T
347,0.458,34.8
348,0.456,35
349,0.454,35.1
350,0.451,35.4
351,0.449,35.5
352,0.448,35.6
353,0.448,35.7
354,0.447,35.8
355,0.445,35.9
356,0.445,35.9
357,0.445,35.9
358,0.445,35.9
359,0.442,36.1
360,0.442,36.1
361,0.447,35.7
362,0.449,35.6
363,0.449,35.6
364,0.449,35.6
365,0.448,35.6
366,0.448,35.6
367,0.448,35.7
368,0.445,35.9
369,0.443,36.1
370,0.443,36
371,0.443,36.1
372,0.442,36.1
373,0.441,36.2
374,0.438,36.4
375,0.438,36.4
376,0.441,36.2
377,0.447,35.7
378,0.451,35.4
379,0.451,35.4
380,0.451,35.4
381,0.447,35.7
382,0.447,35.7
383,0.448,35.7
384,0.449,35.6
385,0.449,35.6
386,0.449,35.6
387,0.45,35.5
388,0.449,35.6
389,0.448,35.6
390,0.437,36.5
391,0.435,36.7
392,0.433,36.9
393,0.432,37
394,0.431,37.1
395,0.431,37
396,0.43,37.2
397,0.429,37.3
398,0.428,37.3
399,0.427,37.4
400,0.427,37.4
401,0.426,37.5
402,0.425,37.6
403,0.425,37.6
404,0.425,37.6
405,0.426,37.5
406,0.426,37.5
407,0.426,37.5
408,0.426,37.5
409,0.424,37.6
410,0.424,37.6
411,0.424,37.6
412,0.424,37.7
413,0.424,37.7
414,0.424,37.7
415,0.423,37.7
416,0.421,37.9
417,0.421,37.9
418,0.42,38
419,0.418,38.2
420,0.418,38.2
421,0.419,38.1
422,0.419,38.1
423,0.419,38.1
424,0.419,38.1
425,0.419,38.1
426,0.419,38.1
427,0.42,38.1
428,0.419,38.1
429,0.419,38.1
430,0.418,38.2
431,0.417,38.2
432,0.417,38.2
433,0.417,38.2
434,0.417,38.3
435,0.417,38.3
436,0.415,38.4
437,0.415,38.5
438,0.415,38.5
439,0.414,38.6
440,0.413,38.7
441,0.413,38.7
442,0.412,38.7
443,0.412,38.7
444,0.412,38.7
445,0.412,38.8
446,0.411,38.8
447,0.409,39
448,0.409,39
449,0.409,39
450,0.408,39
451,0.407,39.2
452,0.407,39.2
453,0.406,39.3
454,0.406,39.3
455,0.406,39.3
456,0.404,39.4
457,0.404,39.5
458,0.402,39.6
459,0.4,39.8
460,0.399,39.9
461,0.399,39.9
462,0.399,39.9
463,0.399,39.9
464,0.397,40
465,0.397,40.1
466,0.395,40.2
467,0.395,40.2
468,0.395,40.3
469,0.394,40.4
470,0.393,40.4
471,0.392,40.6
472,0.39,40.7
473,0.39,40.8
474,0.388,40.9
475,0.387,41
476,0.386,41.1
477,0.383,41.4
478,0.382,41.5
479,0.381,41.6
480,0.38,41.7
481,0.375,42.1
482,0.372,42.5
483,0.369,42.7
484,0.371,42.6
485,0.374,42.3
486,0.374,42.3
487,0.372,42.5
488,0.372,42.5
489,0.372,42.5
490,0.369,42.7
491,0.368,42.9
492,0.368,42.8
493,0.368,42.9
494,0.366,43
495,0.363,43.3
496,0.362,43.5
497,0.361,43.5
498,0.361,43.6
499,0.36,43.6
500,0.359,43.7
501,0.357,44
502,0.355,44.2
503,0.354,44.3
504,0.353,44.3
505,0.352,44.5
506,0.35,44.7
507,0.349,44.8
508,0.347,44.9
509,0.346,45.1
510,0.345,45.2
511,0.345,45.2
512,0.343,45.4
513,0.343,45.4
514,0.342,45.5
515,0.341,45.7
516,0.339,45.9
517,0.338,45.9
518,0.338,45.9
519,0.338,45.9
520,0.337,46
521,0.334,46.3
522,0.333,46.5
523,0.331,46.6
524,0.329,46.9
525,0.326,47.2
526,0.324,47.4
527,0.323,47.5
528,0.326,47.2
529,0.328,47
530,0.327,47
531,0.326,47.2
532,0.325,47.3
533,0.325,47.3
534,0.324,47.5
535,0.323,47.5
536,0.322,47.7
537,0.321,47.7
538,0.317,48.2
539,0.313,48.6
540,0.313,48.6
541,0.316,48.4
542,0.316,48.3
543,0.316,48.3
544,0.315,48.4
545,0.313,48.7
546,0.312,48.7
547,0.312,48.7
548,0.312,48.7
549,0.31,49
550,0.308,49.3
551,0.307,49.4
552,0.305,49.5
553,0.305,49.5
554,0.305,49.6
555,0.303,49.7
556,0.302,49.9
557,0.301,50
558,0.3,50.2
559,0.298,50.3
560,0.295,50.7
561,0.294,50.8
562,0.293,51
563,0.291,51.2
564,0.289,51.4
565,0.288,51.5
566,0.289,51.4
