wavelength,blank,S6 Preheat,S6 Post Heat,S6 Irrad 1 1,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 1 10
280,98.1,24.66666667,18.675,9.25,7.55,6.625,6.45,5.85,5.3,4.9,4.525,4.3,4.1
281,98.1,24.83333333,18.925,9.25,7.6,6.625,6.45,5.85,5.3,4.9,4.525,4.3,4.1
282,98.1,24.93333333,19.075,9.275,7.575,6.625,6.45,5.825,5.3,4.9,4.525,4.3,4.1
283,97.9,24.93333333,19.1,9.275,7.55,6.625,6.45,5.825,5.25,4.875,4.5,4.25,4.025
284,97.9,24.96666667,19.075,9.275,7.55,6.55,6.4,5.775,5.2,4.825,4.5,4.225,4
285,97.9,25.06666667,19.15,9.275,7.55,6.575,6.375,5.775,5.2,4.825,4.45,4.2,4
286,97.9,25.2,19.2,9.275,7.55,6.55,6.375,5.75,5.2,4.775,4.425,4.2,3.975
287,97.9,25.16666667,19.225,9.225,7.5,6.5,6.35,5.725,5.15,4.75,4.375,4.175,3.95
288,97.9,25.16666667,19.275,9.175,7.45,6.5,6.3,5.65,5.1,4.7,4.325,4.1,3.9
289,97.9,25.23333333,19.3,9.175,7.45,6.45,6.3,5.65,5.1,4.7,4.325,4.1,3.9
290,97.9,25.36666667,19.45,9.2,7.45,6.475,6.3,5.65,5.1,4.7,4.325,4.1,3.9
291,97.9,25.53333333,19.6,9.225,7.425,6.45,6.3,5.65,5.1,4.675,4.325,4.075,3.9
292,98,25.53333333,19.6,9.2,7.425,6.4,6.25,5.625,5.1,4.625,4.275,4.025,3.85
293,98,25.56666667,19.625,9.2,7.4,6.4,6.25,5.625,5.075,4.6,4.25,4.025,3.8
294,98,25.63333333,19.725,9.2,7.425,6.4,6.25,5.625,5.075,4.65,4.275,4.025,3.8
295,97.9,25.9,19.95,9.225,7.425,6.4,6.25,5.625,5.075,4.65,4.275,4.025,3.8
296,98,25.93333333,20.075,9.225,7.425,6.4,6.25,5.625,5.05,4.65,4.25,4.025,3.8
297,98.2,25.93333333,20.125,9.225,7.425,6.4,6.25,5.6,5.05,4.625,4.25,4.025,3.8
298,98.1,25.93333333,20.125,9.225,7.35,6.4,6.225,5.6,5.025,4.625,4.25,4,3.8
299,98.1,25.93333333,20.1,9.2,7.35,6.35,6.225,5.575,5.025,4.575,4.225,4,3.8
300,98.1,25.93333333,20.1,9.15,7.35,6.35,6.225,5.575,5,4.575,4.2,4,3.8
301,98.1,26,20.125,9.15,7.375,6.35,6.25,5.575,5.025,4.575,4.225,4,3.8
