S8 Irrad 1,,
S8 Irrad 1 1,"Date : 22/07/2021, 12:14:01",
Wavelength (nm),ABS,%T
793.00,0.313,48.7
794.00,0.312,48.7
795.00,0.312,48.7
796.00,0.312,48.7
797.00,0.312,48.8
798.00,0.312,48.8
799.00,0.312,48.8
800.00,0.311,48.9
801.00,0.31,48.9
802.00,0.309,49.1
803.00,0.308,49.2
804.00,0.308,49.3
805.00,0.306,49.4
806.00,0.306,49.4
807.00,0.304,49.6
808.00,0.304,49.6
809.00,0.303,49.7
810.00,0.302,49.9
811.00,0.302,49.9
812.00,0.301,50
813.00,0.301,50
814.00,0.301,50
815.00,0.3,50.2
816.00,0.299,50.2
817.00,0.299,50.2
818.00,0.299,50.2
819.00,0.297,50.4
820.00,0.297,50.5
821.00,0.293,50.9
822.00,0.29,51.3
823.00,0.289,51.4
824.00,0.289,51.4
825.00,0.29,51.3
826.00,0.291,51.2
827.00,0.291,51.1
828.00,0.291,51.2
829.00,0.29,51.3
830.00,0.29,51.3
831.00,0.29,51.3
832.00,0.29,51.3
833.00,0.289,51.3
834.00,0.288,51.5
835.00,0.287,51.6
836.00,0.287,51.6
837.00,0.287,51.6
838.00,0.287,51.6
839.00,0.287,51.6
840.00,0.287,51.7
841.00,0.287,51.7
842.00,0.285,51.9
843.00,0.285,51.9
844.00,0.284,52
845.00,0.284,52
846.00,0.284,52
847.00,0.284,52
848.00,0.284,52
849.00,0.284,52
850.00,0.284,52
851.00,0.285,51.9
852.00,0.284,52
853.00,0.284,52.1
854.00,0.281,52.4
855.00,0.281,52.4
856.00,0.281,52.3
857.00,0.281,52.3
858.00,0.28,52.5
859.00,0.277,52.8
860.00,0.277,52.8
861.00,0.278,52.7
862.00,0.278,52.7
863.00,0.277,52.8
864.00,0.276,53
865.00,0.276,53
866.00,0.274,53.2
867.00,0.274,53.2
868.00,0.274,53.2
869.00,0.274,53.2
870.00,0.274,53.2
871.00,0.273,53.3
872.00,0.273,53.3
873.00,0.272,53.4
874.00,0.272,53.4
875.00,0.272,53.5
876.00,0.271,53.6
877.00,0.271,53.6
878.00,0.27,53.7
879.00,0.27,53.7
880.00,0.269,53.8
881.00,0.266,54.2
882.00,0.264,54.4
883.00,0.264,54.5
884.00,0.261,54.8
885.00,0.261,54.9
886.00,0.261,54.8
887.00,0.261,54.8
888.00,0.261,54.8
889.00,0.261,54.8
890.00,0.262,54.7
891.00,0.263,54.6
892.00,0.263,54.6
893.00,0.263,54.6
894.00,0.263,54.6
895.00,0.261,54.8
896.00,0.26,54.9
897.00,0.26,54.9
898.00,0.261,54.8
899.00,0.261,54.8
900.00,0.261,54.8
901.00,0.261,54.9
902.00,0.26,54.9
903.00,0.259,55
904.00,0.259,55.1
905.00,0.258,55.2
906.00,0.258,55.2
907.00,0.259,55.1
908.00,0.258,55.2
909.00,0.258,55.2
910.00,0.258,55.2
911.00,0.258,55.2
912.00,0.258,55.2
913.00,0.258,55.2
914.00,0.257,55.3
915.00,0.257,55.4
916.00,0.255,55.5
917.00,0.255,55.5
918.00,0.255,55.6
919.00,0.255,55.6
920.00,0.255,55.6
921.00,0.254,55.7
922.00,0.253,55.9
923.00,0.252,55.9
924.00,0.252,55.9
925.00,0.252,55.9
926.00,0.252,55.9
