wavelength,S9 Irrad 1,S9 Irrad 10,S9 Irrad 11,S9 Irrad 12,S9 Irrad 13,S9 Irrad 14,S9 Irrad 15,S9 Irrad 2,S9 Irrad 3,S9 Irrad 4,S9 Irrad 5,S9 Irrad 6,S9 Irrad 6 Redo,S9 Irrad 7,S9 Irrad 8,S9 Irrad 9,S9 Postheat,S9 Postheat Day 1,S9 Preheat,blank
471,0.519,0.55025,0.55825,0.5647499999999999,0.5752499999999999,0.5784999999999999,0.56475,0.52275,0.5346000000000001,0.546,0.5455,0.55,0.558,0.547,0.54575,0.56,0.46040000000000003,0.456,0.39975,0.441
472,0.51675,0.5487500000000001,0.55725,0.563,0.57425,0.5762499999999999,0.5627500000000001,0.52025,0.5322,0.54525,0.544,0.549,0.55625,0.54525,0.5445000000000001,0.5577500000000001,0.4588,0.4546666666666667,0.39775000000000005,0.44
473,0.515,0.547,0.5557500000000001,0.5607500000000001,0.5722499999999999,0.5752499999999999,0.5622499999999999,0.5195000000000001,0.531,0.543,0.542,0.547,0.5545,0.5445000000000001,0.5425,0.5565,0.4568,0.453,0.397,0.439
474,0.5132500000000001,0.546,0.5545,0.5595000000000001,0.57,0.57275,0.561,0.51725,0.5294000000000001,0.542,0.5407500000000001,0.5455,0.55125,0.5425,0.54125,0.5537500000000001,0.45520000000000005,0.4523333333333333,0.39549999999999996,0.439
475,0.5105,0.5445,0.5527500000000001,0.5575,0.568,0.5714999999999999,0.5587500000000001,0.5155,0.528,0.541,0.539,0.544,0.55,0.541,0.53925,0.5527500000000001,0.4528,0.45133333333333336,0.39425,0.439
476,0.509,0.54125,0.5515000000000001,0.5557500000000001,0.5655,0.571,0.557,0.51325,0.5256000000000001,0.539,0.5362500000000001,0.54125,0.5475000000000001,0.538,0.538,0.55025,0.4516,0.44933333333333336,0.39325,0.437
477,0.506,0.54025,0.5485,0.55325,0.564,0.5694999999999999,0.556,0.512,0.5234,0.5367500000000001,0.5349999999999999,0.53775,0.5457500000000001,0.5362500000000001,0.5375000000000001,0.549,0.4492,0.447,0.39125000000000004,0.433
478,0.5045000000000001,0.53825,0.54775,0.55225,0.56275,0.56725,0.55375,0.51,0.5218,0.5355000000000001,0.534,0.537,0.544,0.5347500000000001,0.53575,0.5467500000000001,0.4478000000000001,0.446,0.39,0.432
479,0.50275,0.53625,0.5457500000000001,0.5497500000000001,0.5619999999999999,0.56525,0.5515000000000001,0.5075000000000001,0.52,0.533,0.532,0.53525,0.5415000000000001,0.533,0.53325,0.5447500000000001,0.4462,0.444,0.3885,0.431
480,0.5002500000000001,0.53325,0.543,0.5465000000000001,0.5587500000000001,0.56375,0.5487500000000001,0.50525,0.5174,0.5297499999999999,0.52925,0.5322500000000001,0.5389999999999999,0.5315,0.53025,0.542,0.4434,0.44166666666666665,0.38725,0.428
