wavelength,S8 Irrad 1,S8 Irrad 10,S8 Irrad 11,S8 Irrad 12,S8 Irrad 13,S8 Irrad 14,S8 Irrad 15,S8 Irrad 2,S8 Irrad 3,S8 Irrad 4,S8 Irrad 5,S8 Irrad 6,S8 Irrad 7,S8 Irrad 8,S8 Irrad 9,S8 Postheat,S8 Preheat
443,0.5482,0.55975,0.57725,0.6215,0.63125,0.6335,0.6205,0.54225,0.537,0.526,0.54825,0.53525,0.5392,0.57775,0.56,0.3694,0.46525
444,0.5464,0.559,0.576,0.6195,0.63075,0.63225,0.61875,0.54125,0.5355,0.52375,0.547,0.5335,0.5372,0.5765,0.558,0.369,0.46475
445,0.545,0.5565,0.57475,0.61775,0.6295,0.6305,0.617,0.53975,0.53375,0.52125,0.54475,0.532,0.5358,0.57525,0.55625,0.3686,0.46375
446,0.543,0.554,0.5725,0.6165,0.62825,0.628,0.6145,0.53825,0.532,0.52,0.543,0.53025,0.5336,0.57425,0.555,0.3678,0.462
447,0.5414,0.5525,0.57025,0.6145,0.627,0.6265,0.61375,0.53625,0.5305,0.51725,0.5415,0.529,0.5324,0.5725,0.5535,0.3674,0.4615
448,0.5402,0.55225,0.56975,0.61425,0.62575,0.626,0.61225,0.53575,0.52925,0.51675,0.5415,0.528,0.5314,0.57175,0.5525,0.3668,0.46125
449,0.5392,0.55125,0.5695,0.61275,0.62325,0.62525,0.6115,0.534,0.52775,0.516,0.54,0.5275,0.531,0.57025,0.5515,0.3668,0.4605
450,0.5376,0.55025,0.568,0.6115,0.6225,0.624,0.611,0.53275,0.52725,0.51575,0.53875,0.5255,0.5288,0.569,0.55025,0.3668,0.46
451,0.5362,0.54825,0.56675,0.611,0.621,0.62225,0.60975,0.53225,0.526,0.51275,0.537,0.52375,0.528,0.56775,0.5485,0.3668,0.459
452,0.5348,0.54625,0.565,0.61025,0.61975,0.621,0.6085,0.52975,0.524,0.512,0.53525,0.5225,0.5268,0.56525,0.54725,0.3658,0.45825
453,0.5338,0.54525,0.5635,0.60925,0.61825,0.61975,0.606,0.52875,0.52275,0.51075,0.534,0.52175,0.5258,0.56425,0.54575,0.3658,0.45775
454,0.5332,0.5445,0.5625,0.60825,0.6175,0.619,0.6055,0.52825,0.52125,0.5105,0.53375,0.52075,0.524,0.563,0.5455,0.3656,0.4575
455,0.5318,0.54375,0.56175,0.60675,0.61675,0.618,0.605,0.527,0.51975,0.50875,0.533,0.5205,0.5226,0.56225,0.54375,0.3652,0.457
456,0.53,0.542,0.55925,0.6045,0.61475,0.61675,0.603,0.525,0.51775,0.506,0.53075,0.5185,0.5212,0.55975,0.542,0.3642,0.4555
457,0.5274,0.53975,0.557,0.60225,0.61325,0.61325,0.6015,0.522,0.51625,0.5035,0.5275,0.51525,0.5184,0.5575,0.53975,0.3632,0.454
458,0.5244,0.5375,0.554,0.60025,0.6105,0.61,0.59825,0.52,0.51375,0.50025,0.52525,0.51225,0.5154,0.5555,0.5375,0.361,0.4525
