wavelength,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9,S6 Post Heat,S6 Preheat,blank
205,2.5825,2.863,2.7505,2.7725,2.72025,2.7355,2.7344999999999997,2.80825,2.8209999999999997,2.8259999999999996,2.867,2.907,2.89525,2.95725,2.9,2.8922499999999998,3.0,2.98175,1.81275,1.7233333333333334,0.01
206,2.58925,2.87275,2.781,2.7935,2.73775,2.7495,2.7704999999999997,2.825,2.8289999999999997,2.8457500000000002,2.8845,2.9167499999999995,2.917,2.9685,2.9185000000000003,2.9065,3.0,2.98925,1.78125,1.688,0.01
207,2.59525,2.88625,2.78475,2.796,2.75775,2.7584999999999997,2.79075,2.84675,2.85425,2.84975,2.90275,2.93,2.94625,2.9810000000000003,2.92575,2.93225,3.0,2.99225,1.742,1.6463333333333334,0.01
208,2.5995,2.8897499999999994,2.7929999999999997,2.8030000000000004,2.7609999999999997,2.7674999999999996,2.8047500000000003,2.85175,2.8672500000000003,2.851,2.914,2.9490000000000003,2.9477499999999996,2.98675,2.92275,2.94,3.0,2.99575,1.7005,1.6006666666666665,0.01
209,2.6092500000000003,2.8987499999999997,2.79725,2.8099999999999996,2.7657499999999997,2.78675,2.8155,2.853,2.8735000000000004,2.85725,2.9345,2.9545000000000003,2.96,2.9895,2.9257500000000003,2.944,3.0,2.99775,1.6509999999999998,1.5493333333333332,0.01
210,2.6094999999999997,2.9140000000000006,2.8074999999999997,2.8237500000000004,2.7765,2.7942500000000003,2.8265,2.85475,2.87275,2.86375,2.9552500000000004,2.9585000000000004,2.97075,2.99625,2.9315,2.95475,3.0,3.0,1.6030000000000002,1.4973333333333334,0.011
211,2.60575,2.9232500000000003,2.8125,2.84525,2.7800000000000002,2.8115,2.8289999999999997,2.86325,2.8785,2.86375,2.95425,2.972,2.9735,2.998,2.95375,2.96375,3.0,3.0,1.55325,1.4446666666666665,0.011
212,2.6005,2.9205,2.8242499999999997,2.8447500000000003,2.7914999999999996,2.8149999999999995,2.8394999999999997,2.8720000000000003,2.8935000000000004,2.86975,2.95975,2.977,2.979,3.0,2.967,2.97525,3.0,2.9995000000000003,1.50075,1.3903333333333334,0.011
213,2.5932500000000003,2.9357500000000005,2.8305,2.8497500000000002,2.80175,2.822,2.8545000000000003,2.8925,2.89925,2.87725,2.96575,2.981,2.97875,3.0,2.9725,2.9827500000000002,3.0,3.0,1.452,1.3390000000000002,0.011
214,2.58425,2.93725,2.8382500000000004,2.8565,2.80875,2.8235,2.87275,2.90075,2.909,2.87875,2.9727500000000004,2.98025,2.9865000000000004,3.0,2.97425,2.9864999999999995,3.0,2.99975,1.405,1.2876666666666665,0.01
215,2.742,3.0,3.0,2.99925,3.0,2.9775,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.393,1.264,0.009
216,2.98,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.35975,1.2286666666666666,0.008
217,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.319,1.1876666666666666,0.008
218,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.27525,1.1443333333333332,0.008
219,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.2352500000000002,1.103,0.006
220,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.1985000000000001,1.0656666666666668,0.006
221,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.1629999999999998,1.0276666666666667,0.006
222,2.8805,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.13225,0.996,0.006
223,2.36375,3.0,2.993,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0935000000000001,0.9593333333333334,0.006
224,2.16975,3.0,2.69575,2.9265000000000003,2.99475,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0667499999999999,0.9343333333333333,0.006
225,2.0575,3.0,2.5525,2.7947500000000005,2.896,2.9762500000000003,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.048,0.916,0.006
