wavelength,blank,S6 Preheat,S6 Post Heat,S6 Irrad 1 1,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 1 10,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9
234,0.005,0.939666667,1.07425,1.6675,1.95675,2.1745,2.29475,2.44725,2.57175,2.6665,2.7595,2.815,2.9165,3,3,3,3,3,3,3,2.844
235,0.005,0.950333333,1.087,1.6405,1.911,2.113,2.228,2.3765,2.49475,2.586,2.68575,2.74425,2.8525,3,3,3,3,3,3,3,2.824
236,0.005,0.962,1.099,1.61925,1.86925,2.05975,2.1645,2.3075,2.42075,2.51375,2.609,2.67275,2.775,3,3,3,3,3,3,3,2.805
237,0.006,0.973666667,1.10925,1.59975,1.8305,2.01,2.10725,2.24275,2.34975,2.44125,2.533,2.5995,2.6965,3,3,3,3,3,3,3,2.78175
238,0.007,0.984,1.11925,1.582,1.793,1.961,2.05075,2.1805,2.2805,2.3685,2.459,2.526,2.6165,3,3,3,3,3,3,3,2.76925
239,0.007,0.990666667,1.12625,1.561,1.75525,1.909,1.99275,2.114,2.209,2.2915,2.38075,2.44425,2.52925,2.9995,3,3,3,3,3,3,2.74825
240,0.007,0.992666667,1.12875,1.53875,1.71625,1.857,1.932,2.048,2.13575,2.213,2.29925,2.36175,2.43875,2.95575,3,3,3,3,3,3,2.725
241,0.006,0.992,1.129,1.517,1.68225,1.81075,1.8825,1.988,2.07225,2.14325,2.226,2.29125,2.35925,2.90225,3,3,3,3,3,3,2.703
242,0.006,0.993666667,1.1315,1.50075,1.655,1.77425,1.83775,1.94,2.02075,2.091,2.16925,2.23,2.295,2.8575,3,3,3,3,3,3,2.68225
243,0.005,0.996333333,1.13375,1.48875,1.63375,1.746,1.80525,1.90275,1.97825,2.04625,2.122,2.1795,2.241,2.8055,2.99825,3,3,3,3,3,2.67
244,0.005,0.996,1.13325,1.47425,1.60775,1.71725,1.77075,1.862,1.93625,2.00275,2.07475,2.128,2.1875,2.74025,2.953,3,3,3,3,3,2.669
245,0.005,0.985333333,1.11975,1.449,1.5715,1.6735,1.72375,1.80975,1.87925,1.9415,2.00925,2.06,2.117,2.651,2.86525,2.9985,3,3,3,3,2.662
246,0.005,0.964666667,1.09775,1.417,1.533,1.62775,1.67325,1.75275,1.818,1.87675,1.94175,1.9895,2.0415,2.55775,2.781,2.95,3,3,3,3,2.6305
247,0.005,0.948333333,1.08075,1.392,1.50475,1.59475,1.636,1.71225,1.77475,1.82975,1.89175,1.93925,1.984,2.4885,2.7165,2.9045,2.9995,2.99575,3,3,2.5945
248,0.004,0.936666667,1.06725,1.37375,1.48425,1.56975,1.606,1.681,1.741,1.7975,1.85675,1.89675,1.942,2.43325,2.66375,2.86075,2.96675,2.9645,3,3,2.578
249,0.004,0.926,1.05825,1.3575,1.46125,1.54725,1.58075,1.6525,1.71025,1.76875,1.8235,1.8615,1.9085,2.3805,2.603,2.80375,2.90775,2.91425,2.9945,3,2.57475
250,0.004,0.909,1.041,1.33675,1.4345,1.519,1.5515,1.62125,1.676,1.73225,1.785,1.8225,1.86875,2.31675,2.53075,2.73225,2.83275,2.8465,2.92825,3,2.56575
251,0.004,0.882333333,1.0165,1.3095,1.404,1.4855,1.51675,1.58375,1.63425,1.68675,1.73825,1.7735,1.81725,2.24,2.44375,2.64625,2.74175,2.77025,2.84625,3,2.53125
252,0.005,0.855666667,0.98925,1.28,1.375,1.45275,1.48,1.546,1.594,1.644,1.693,1.727,1.76725,2.16575,2.3595,2.56275,2.64975,2.68975,2.763,2.92325,2.48475
253,0.005,0.833,0.96525,1.255,1.35075,1.42475,1.451,1.51275,1.5595,1.6075,1.65525,1.6905,1.727,2.104,2.288,2.48825,2.5715,2.61875,2.68525,2.82375,2.43775
254,0.005,0.813,0.94625,1.2335,1.32725,1.3995,1.4245,1.4845,1.53175,1.57675,1.624,1.6575,1.6915,2.05,2.22425,2.416,2.4985,2.54975,2.607,2.73125,2.39975
255,0.005,0.792333333,0.92475,1.21225,1.304,1.374,1.39875,1.45675,1.50275,1.546,1.59125,1.62375,1.65625,1.99625,2.1585,2.3435,2.418,2.47125,2.5205,2.6375,2.35825
256,0.005,0.769,0.90275,1.18975,1.28075,1.348,1.37125,1.428,1.47275,1.51525,1.558,1.58925,1.622,1.94025,2.09225,2.271,2.3405,2.394,2.43875,2.539,2.305
257,0.006,0.747,0.87875,1.165,1.25575,1.323,1.3435,1.399,1.44225,1.48225,1.5255,1.55675,1.586,1.88675,2.02675,2.2,2.26225,2.31325,2.3565,2.4435,2.24625
258,0.006,0.724666667,0.85525,1.14225,1.23175,1.29825,1.31875,1.3705,1.4135,1.45275,1.49275,1.52475,1.5515,1.83325,1.96575,2.13025,2.18625,2.23775,2.2765,2.34825,2.1855
259,0.006,0.703333333,0.8335,1.12025,1.209,1.27525,1.29475,1.34475,1.38725,1.42425,1.463,1.49475,1.52075,1.78425,1.9085,2.06375,2.118,2.165,2.201,2.263,2.12475
260,0.006,0.687333333,0.81625,1.10375,1.1935,1.25775,1.2765,1.3245,1.367,1.40525,1.44125,1.472,1.4965,1.74625,1.86425,2.012,2.0645,2.108,2.14025,2.195,2.0715
261,0.005,0.679666667,0.80925,1.09725,1.186,1.2485,1.2645,1.3135,1.356,1.39325,1.431,1.45825,1.4835,1.722,1.83275,1.975,2.024,2.0655,2.09425,2.1475,2.02975
262,0.005,0.678,0.80525,1.095,1.18,1.243,1.2575,1.3075,1.346,1.388,1.421,1.446,1.47375,1.70275,1.80425,1.94125,1.99,2.02725,2.052,2.1095,1.99925
263,0.005,0.672,0.79875,1.0885,1.17275,1.23475,1.24875,1.298,1.33725,1.3795,1.412,1.43475,1.464,1.6835,1.775,1.90575,1.954,1.98975,2.01125,2.06825,1.96975
264,0.005,0.662666667,0.791,1.0785,1.164,1.22525,1.2395,1.28675,1.32675,1.367,1.39925,1.4225,1.44975,1.66075,1.74575,1.86925,1.91675,1.94675,1.966,2.0195,1.93275
265,0.006,0.652,0.78075,1.06925,1.15475,1.21575,1.22825,1.2745,1.31475,1.35325,1.38525,1.40875,1.435,1.63525,1.714,1.8335,1.87625,1.903,1.91875,1.9675,1.891
266,0.006,0.642666667,0.77,1.0595,1.1435,1.2055,1.21725,1.26325,1.3025,1.339,1.37175,1.3955,1.41975,1.6095,1.6835,1.7965,1.8385,1.861,1.87425,1.91975,1.84975
267,0.006,0.635,0.7615,1.05175,1.13675,1.19725,1.209,1.25425,1.2935,1.328,1.361,1.38525,1.40875,1.59,1.65875,1.7675,1.80625,1.827,1.83825,1.88,1.814
