S6 Preheat,,
S6 Preheat 1,"Date : 15/07/2021, 08:47:57",
Wavelength (nm),ABS,%T
412,0.673,21.2
413,0.671,21.3
414,0.669,21.4
415,0.665,21.6
416,0.662,21.8
417,0.659,21.9
418,0.656,22.1
419,0.653,22.2
420,0.652,22.3
421,0.652,22.3
422,0.65,22.4
423,0.648,22.5
424,0.648,22.5
425,0.647,22.5
426,0.646,22.6
427,0.643,22.7
428,0.642,22.8
429,0.64,22.9
430,0.638,23
431,0.636,23.1
432,0.635,23.2
433,0.632,23.3
434,0.63,23.4
435,0.628,23.5
436,0.627,23.6
437,0.624,23.8
438,0.623,23.8
439,0.62,24
440,0.618,24.1
441,0.617,24.2
442,0.617,24.2
443,0.615,24.3
444,0.614,24.3
445,0.611,24.5
446,0.608,24.6
447,0.607,24.7
448,0.607,24.7
449,0.605,24.8
450,0.604,24.9
451,0.602,25
452,0.602,25
453,0.6,25.1
454,0.599,25.2
455,0.597,25.3
456,0.594,25.5
457,0.592,25.6
458,0.589,25.8
459,0.587,25.9
460,0.587,25.9
461,0.588,25.8
462,0.587,25.9
463,0.585,26
464,0.582,26.2
465,0.581,26.2
466,0.58,26.3
467,0.579,26.4
468,0.577,26.5
469,0.576,26.5
470,0.574,26.6
471,0.574,26.7
472,0.572,26.8
473,0.569,27
474,0.567,27.1
475,0.565,27.2
476,0.563,27.3
477,0.562,27.4
478,0.56,27.5
479,0.557,27.7
480,0.553,28
481,0.547,28.4
482,0.542,28.7
483,0.542,28.7
484,0.546,28.5
485,0.548,28.3
486,0.545,28.5
487,0.545,28.5
488,0.545,28.5
489,0.543,28.7
490,0.539,28.9
491,0.538,29
492,0.539,28.9
493,0.539,28.9
494,0.537,29
495,0.533,29.3
496,0.531,29.5
497,0.531,29.5
498,0.53,29.5
499,0.529,29.6
500,0.528,29.7
501,0.525,29.8
502,0.523,30
503,0.521,30.1
504,0.519,30.2
505,0.518,30.3
506,0.516,30.4
507,0.514,30.6
508,0.512,30.8
509,0.51,30.9
510,0.509,31
511,0.509,31
512,0.508,31
513,0.507,31.1
514,0.505,31.3
515,0.502,31.5
516,0.5,31.6
517,0.499,31.7
518,0.5,31.6
519,0.5,31.6
520,0.498,31.8
521,0.497,31.8
522,0.493,32.1
523,0.49,32.3
524,0.487,32.6
525,0.485,32.7
526,0.484,32.8
527,0.485,32.7
528,0.489,32.4
529,0.49,32.3
530,0.487,32.6
531,0.485,32.7
532,0.485,32.7
533,0.485,32.7
534,0.484,32.8
535,0.483,32.9
536,0.483,32.9
537,0.479,33.2
538,0.474,33.5
539,0.471,33.8
540,0.473,33.6
541,0.476,33.4
542,0.479,33.2
543,0.479,33.2
544,0.478,33.3
545,0.475,33.5
546,0.475,33.5
547,0.475,33.5
548,0.474,33.5
549,0.472,33.8
550,0.469,33.9
551,0.468,34
552,0.468,34
553,0.468,34
554,0.468,34
555,0.467,34.2
556,0.465,34.2
557,0.464,34.4
558,0.463,34.4
559,0.462,34.5
560,0.458,34.8
561,0.456,35
562,0.454,35.2
563,0.452,35.3
564,0.451,35.4
565,0.451,35.4
566,0.452,35.3
567,0.452,35.3
568,0.451,35.4
569,0.45,35.5
570,0.449,35.5
571,0.449,35.5
572,0.45,35.5
573,0.45,35.4
574,0.451,35.4
575,0.452,35.3
576,0.452,35.3
577,0.452,35.3
578,0.452,35.3
579,0.451,35.4
580,0.451,35.4
581,0.45,35.5
582,0.449,35.5
583,0.449,35.6
584,0.449,35.6
585,0.449,35.6
586,0.448,35.6
587,0.448,35.7
588,0.448,35.7
589,0.448,35.7
590,0.448,35.7
591,0.448,35.7
592,0.447,35.7
593,0.447,35.7
594,0.446,35.8
595,0.446,35.8
596,0.447,35.7
597,0.449,35.6
598,0.449,35.5
599,0.449,35.5
600,0.448,35.7
601,0.446,35.8
602,0.446,35.8
603,0.445,35.9
604,0.447,35.8
605,0.448,35.6
606,0.448,35.6
607,0.448,35.6
608,0.448,35.6
609,0.448,35.6
610,0.449,35.5
611,0.45,35.5
612,0.45,35.5
613,0.45,35.5
614,0.45,35.5
615,0.45,35.5
616,0.449,35.5
617,0.449,35.5
618,0.449,35.5
619,0.449,35.5
620,0.449,35.5
621,0.449,35.6
622,0.449,35.6
623,0.448,35.6
624,0.448,35.7
625,0.448,35.7
626,0.448,35.6
627,0.449,35.6
628,0.449,35.6
629,0.449,35.6
630,0.449,35.6
631,0.449,35.6
632,0.449,35.6
633,0.449,35.6
634,0.449,35.6
635,0.449,35.6
636,0.449,35.5
637,0.449,35.5
638,0.449,35.5
639,0.449,35.5
640,0.449,35.5
641,0.449,35.5
642,0.449,35.5
643,0.449,35.6
644,0.448,35.6
645,0.448,35.6
646,0.448,35.7
647,0.448,35.7
648,0.448,35.7
649,0.448,35.7
650,0.447,35.7
651,0.447,35.7
652,0.447,35.7
653,0.447,35.7
654,0.447,35.8
655,0.446,35.8
656,0.445,35.9
657,0.444,36
658,0.443,36
659,0.444,36
660,0.445,35.9
661,0.445,35.9
662,0.445,35.9
663,0.445,35.9
664,0.444,36
665,0.444,36
666,0.443,36.1
667,0.442,36.1
668,0.442,36.2
669,0.442,36.2
670,0.441,36.2
671,0.441,36.2
672,0.441,36.2
673,0.44,36.3
674,0.439,36.4
675,0.438,36.4
676,0.437,36.5
677,0.437,36.6
678,0.435,36.7
679,0.434,36.8
680,0.434,36.8
681,0.434,36.8
682,0.434,36.8
683,0.434,36.8
684,0.434,36.8
685,0.432,37
686,0.432,37
687,0.43,37.1
688,0.43,37.1
689,0.429,37.2
690,0.429,37.2
691,0.428,37.3
692,0.428,37.4
693,0.427,37.4
694,0.425,37.6
695,0.424,37.7
696,0.423,37.8
697,0.421,38
698,0.42,38
699,0.421,37.9
700,0.421,37.9
701,0.421,37.9
702,0.421,38
703,0.42,38
704,0.418,38.2
705,0.417,38.3
706,0.416,38.4
707,0.415,38.5
708,0.414,38.5
709,0.413,38.6
710,0.413,38.7
711,0.412,38.7
712,0.411,38.8
713,0.41,38.9
714,0.408,39
715,0.408,39
716,0.408,39.1
717,0.408,39.1
718,0.408,39.1
719,0.408,39.1
720,0.406,39.3
721,0.406,39.3
722,0.404,39.5
723,0.402,39.6
724,0.402,39.6
725,0.401,39.7
726,0.4,39.8
727,0.399,39.9
728,0.399,39.9
729,0.399,39.9
730,0.398,40
731,0.397,40.1
732,0.395,40.2
733,0.395,40.3
734,0.394,40.4
735,0.394,40.4
736,0.392,40.5
737,0.39,40.7
738,0.389,40.8
739,0.387,41
740,0.385,41.2
741,0.384,41.3
742,0.384,41.3
743,0.384,41.3
744,0.383,41.4
745,0.382,41.5
746,0.38,41.7
747,0.378,41.8
748,0.378,41.9
749,0.377,42
750,0.376,42.1
751,0.375,42.2
752,0.374,42.2
753,0.373,42.4
754,0.372,42.4
755,0.372,42.4
756,0.371,42.6
757,0.37,42.6
758,0.37,42.6
759,0.37,42.6
760,0.37,42.6
761,0.369,42.8
762,0.368,42.9
763,0.365,43.2
764,0.363,43.4
765,0.362,43.4
766,0.362,43.4
767,0.362,43.4
768,0.362,43.4
769,0.359,43.7
770,0.359,43.8
771,0.359,43.7
772,0.359,43.8
773,0.358,43.8
774,0.358,43.9
775,0.358,43.9
776,0.358,43.9
777,0.357,43.9
778,0.357,44
779,0.354,44.3
780,0.351,44.6
781,0.351,44.5
782,0.35,44.7
783,0.35,44.7
784,0.349,44.7
785,0.348,44.9
786,0.347,45
787,0.344,45.3
788,0.344,45.3
789,0.343,45.4
790,0.343,45.4
