wavelength,blank,S6 Preheat,S6 Post Heat,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9
237,98.6,10.63333333,7.75,2.525,0.2,1.475,0.975,0.775,0.575,0.45,0.375,0.3,0.25,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2
238,98.5,10.36666667,7.6,2.625,0.225,1.6,1.075,0.875,0.675,0.5,0.4,0.35,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2
239,98.5,10.23333333,7.475,2.75,0.3,1.75,1.25,1.025,0.775,0.6,0.5,0.4,0.375,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2
240,98.5,10.16666667,7.425,2.9,0.4,1.925,1.375,1.175,0.9,0.725,0.6,0.5,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2
241,98.6,10.16666667,7.425,3.025,0.425,2.1,1.55,1.325,1.025,0.85,0.7,0.6,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2
242,98.7,10.13333333,7.4,3.15,0.5,2.2,1.675,1.45,1.15,0.95,0.8,0.675,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2
243,99,10.1,7.325,3.225,0.6,2.325,1.8,1.575,1.25,1.05,0.9,0.75,0.675,0.175,0.1,0.1,0.1,0.1,0.1,0,0.2
244,98.9,10.1,7.35,3.35,0.65,2.5,1.9,1.7,1.375,1.175,1,0.85,0.75,0.2,0.1,0.1,0.1,0.1,0.1,0,0.2
245,98.9,10.33333333,7.575,3.55,0.775,2.7,2.1,1.875,1.55,1.325,1.15,0.975,0.875,0.2,0.1,0.1,0.1,0.1,0.1,0,0.2
246,98.9,10.83333333,8,3.825,0.9,2.925,2.35,2.1,1.775,1.525,1.325,1.15,1.025,0.3,0.2,0.1,0.1,0.1,0.1,0,0.2
