wavelength,S6 Irrad 1 1,S6 Irrad 1 10,S6 Irrad 1 2,S6 Irrad 1 3,S6 Irrad 1 4,S6 Irrad 1 5,S6 Irrad 1 6,S6 Irrad 1 7,S6 Irrad 1 8,S6 Irrad 1 9,S6 Irrad 2,S6 Irrad 3,S6 Irrad 4,S6 Irrad 5,S6 Irrad 6,S6 Irrad 7,S6 Irrad 8,S6 Irrad 9,S6 Post Heat,S6 Preheat
913,0.26575000000000004,0.27975000000000005,0.27975000000000005,0.2675,0.23925,0.2345,0.2475,0.27875000000000005,0.28425,0.28150000000000003,0.29874999999999996,0.28375,0.301,0.32975,0.304,0.2875,0.282,0.2845,0.24225,0.17625000000000002
914,0.26525,0.2775,0.27925,0.26775000000000004,0.2385,0.233,0.246,0.278,0.284,0.28125,0.297,0.284,0.30075,0.32975,0.30374999999999996,0.2875,0.28150000000000003,0.284,0.24175,0.17625000000000002
915,0.263,0.2755,0.278,0.26825,0.23575,0.2305,0.24325,0.277,0.28275,0.2805,0.294,0.283,0.30075,0.32925000000000004,0.30274999999999996,0.2865,0.28150000000000003,0.28275,0.2395,0.176
916,0.26075000000000004,0.27225,0.27575000000000005,0.2685,0.2315,0.2255,0.23725,0.272,0.28,0.27875000000000005,0.2895,0.283,0.30075,0.3265,0.3,0.2855,0.2805,0.28075,0.23625,0.17475000000000002
917,0.26125,0.274,0.27525,0.2675,0.2305,0.226,0.23725,0.2715,0.2795,0.27875000000000005,0.28625,0.28424999999999995,0.30125,0.326,0.298,0.2835,0.277,0.28075,0.23500000000000001,0.17300000000000001
918,0.26125,0.27375000000000005,0.276,0.26675000000000004,0.23075,0.22675,0.2405,0.273,0.28075,0.27775000000000005,0.286,0.28424999999999995,0.301,0.32625,0.29725,0.28225,0.2775,0.28125,0.2355,0.17325000000000002
919,0.2605,0.2735,0.2765,0.26425,0.23275,0.22775,0.24125,0.2745,0.28075,0.27775000000000005,0.28825,0.2825,0.30124999999999996,0.32625,0.29724999999999996,0.28099999999999997,0.27725,0.283,0.23675,0.17300000000000001
920,0.2625,0.2775,0.27625,0.26425,0.23575,0.232,0.24275,0.274,0.28125,0.279,0.29524999999999996,0.2805,0.30174999999999996,0.32625,0.299,0.28150000000000003,0.2785,0.28224999999999995,0.24,0.17475000000000002
921,0.26375000000000004,0.2795,0.2765,0.265,0.23925,0.23424999999999999,0.24725,0.27375000000000005,0.283,0.27975,0.296,0.28,0.30074999999999996,0.326,0.29875,0.28125,0.27875000000000005,0.28225,0.24225,0.1765
922,0.26325,0.2795,0.276,0.2645,0.239,0.23375,0.24675,0.27375000000000005,0.28225,0.27925,0.296,0.27925,0.29924999999999996,0.3255,0.2995,0.28125,0.2785,0.28175,0.24225,0.1755
923,0.263,0.27925,0.276,0.265,0.238,0.233,0.24625,0.274,0.28175,0.27875000000000005,0.2955,0.27925,0.29824999999999996,0.32525,0.29974999999999996,0.28150000000000003,0.27825,0.28125,0.242,0.1745
924,0.263,0.27875,0.276,0.265,0.237,0.23225,0.246,0.27425,0.28175,0.27875000000000005,0.295,0.27925,0.29824999999999996,0.32525,0.30024999999999996,0.28125,0.278,0.28099999999999997,0.242,0.17475000000000002
925,0.2625,0.27825,0.2755,0.26525,0.2365,0.2315,0.24575,0.27475000000000005,0.28124999999999994,0.2785,0.295,0.27875,0.29824999999999996,0.3255,0.3005,0.28200000000000003,0.27775000000000005,0.28099999999999997,0.242,0.17475000000000002
926,0.2625,0.2785,0.27475000000000005,0.265,0.236,0.23025,0.2455,0.27475000000000005,0.28099999999999997,0.2785,0.29474999999999996,0.27875,0.298,0.32575000000000004,0.3005,0.28225,0.27775000000000005,0.28099999999999997,0.24125,0.17475000000000002
927,0.2615,0.278,0.27475000000000005,0.2655,0.2355,0.23,0.2445,0.27475000000000005,0.28124999999999994,0.27725,0.29474999999999996,0.279,0.29725,0.325,0.30025,0.28200000000000003,0.2785,0.28099999999999997,0.24125,0.17525000000000002
928,0.2615,0.2775,0.275,0.26525,0.2355,0.23025,0.243,0.27475000000000005,0.28099999999999997,0.27775000000000005,0.29274999999999995,0.27875000000000005,0.29675,0.32525,0.3,0.28200000000000003,0.27825,0.27975000000000005,0.24125,0.17475000000000002
929,0.26175000000000004,0.27625,0.275,0.2655,0.23475,0.23025,0.243,0.2755,0.28124999999999994,0.2775,0.29124999999999995,0.2785,0.2965,0.3255,0.3,0.282,0.27825,0.28,0.24075,0.17425000000000002
930,0.2615,0.27575000000000005,0.27475000000000005,0.2665,0.23375,0.2295,0.24275,0.27475000000000005,0.28124999999999994,0.27775000000000005,0.291,0.2785,0.29625,0.32525000000000004,0.29975,0.282,0.2775,0.27975,0.24075,0.17425000000000002
931,0.2615,0.27525,0.2745,0.26625,0.2335,0.22925,0.24275,0.275,0.28025,0.27775000000000005,0.2905,0.2785,0.296,0.32525000000000004,0.29974999999999996,0.28225,0.2775,0.27925,0.24025,0.17425000000000002
932,0.2615,0.27575000000000005,0.27475000000000005,0.26625,0.23325,0.22925,0.2425,0.27525,0.28,0.2775,0.2905,0.2785,0.296,0.3245,0.2995,0.28200000000000003,0.2775,0.27875000000000005,0.24025,0.17425000000000002
933,0.2615,0.275,0.2745,0.266,0.23275,0.2295,0.242,0.27475000000000005,0.28025,0.2775,0.2905,0.2785,0.2965,0.3245,0.299,0.28225,0.27775000000000005,0.27925,0.2405,0.17450000000000002
934,0.26125,0.27425,0.274,0.26575000000000004,0.23275,0.22925,0.24175,0.27425,0.28,0.27675000000000005,0.2905,0.27825,0.29575,0.3245,0.299,0.28175,0.277,0.279,0.23975,0.17400000000000002
935,0.25975000000000004,0.27325,0.2735,0.265,0.233,0.22875,0.24125,0.274,0.2795,0.277,0.29,0.278,0.29475,0.32425000000000004,0.299,0.28175,0.27675000000000005,0.27925,0.23925,0.17375000000000002
936,0.2595,0.2725,0.2735,0.26475000000000004,0.23225,0.22725,0.24,0.27375000000000005,0.2795,0.276,0.2895,0.2775,0.29475,0.324,0.299,0.2815,0.2765,0.27875000000000005,0.238,0.17350000000000002
937,0.2585,0.272,0.27325,0.26475000000000004,0.23225,0.2265,0.2395,0.273,0.2785,0.276,0.28874999999999995,0.27725,0.294,0.324,0.29875,0.28125,0.27575000000000005,0.27825,0.2375,0.17325000000000002
938,0.25825,0.271,0.27225,0.26425,0.23225,0.22625,0.2385,0.272,0.27825,0.276,0.2875,0.27775000000000005,0.294,0.324,0.298,0.281,0.274,0.277,0.23725,0.17325000000000002
939,0.25825,0.27025,0.27225,0.26425,0.232,0.22575,0.2385,0.27175000000000005,0.27825,0.275,0.28674999999999995,0.278,0.29374999999999996,0.32325,0.297,0.28025,0.2735,0.27675000000000005,0.236,0.17350000000000002
940,0.25775000000000003,0.27025,0.27225,0.26425,0.232,0.2255,0.23875,0.271,0.27775000000000005,0.27525,0.28674999999999995,0.277,0.29325,0.3225,0.29724999999999996,0.27925,0.27275000000000005,0.27675000000000005,0.23625,0.17275000000000001
941,0.25825,0.27075000000000005,0.27175000000000005,0.264,0.23175,0.22525,0.2385,0.271,0.277,0.2755,0.287,0.27675000000000005,0.29225,0.322,0.2975,0.279,0.27275000000000005,0.277,0.23625,0.17325000000000002
942,0.25675000000000003,0.27075000000000005,0.2715,0.26325,0.2315,0.2255,0.2385,0.271,0.2775,0.276,0.28725,0.275,0.292,0.322,0.29675,0.27825,0.2725,0.27675000000000005,0.23625,0.17375000000000002
943,0.2565,0.27075000000000005,0.27125,0.26275000000000004,0.23075,0.2255,0.23825,0.27075000000000005,0.27675000000000005,0.27575000000000005,0.28675,0.27375000000000005,0.292,0.32175,0.29624999999999996,0.2785,0.2725,0.27625,0.23675,0.17350000000000002
944,0.2565,0.2705,0.2705,0.26175000000000004,0.23075,0.2245,0.23825,0.26975000000000005,0.2765,0.275,0.2865,0.27375000000000005,0.2915,0.3215,0.296,0.2785,0.272,0.27575000000000005,0.237,0.17300000000000001
945,0.2565,0.27025,0.2705,0.2615,0.23,0.22425,0.238,0.26975000000000005,0.2765,0.275,0.28575,0.27325,0.29125,0.32125000000000004,0.29575,0.27775000000000005,0.2715,0.27575000000000005,0.23675,0.17275000000000001
946,0.2565,0.27,0.27025,0.262,0.23,0.2245,0.238,0.27,0.27525,0.2745,0.28575,0.27325,0.29125,0.32025000000000003,0.29575,0.2775,0.271,0.2755,0.237,0.17225000000000001
947,0.25625,0.26975000000000005,0.27,0.26125,0.22975,0.224,0.23775,0.26975000000000005,0.27525,0.27425,0.28525,0.27325,0.291,0.3185,0.29475,0.27675000000000005,0.2705,0.27525,0.23575,0.17250000000000001
948,0.2555,0.2695,0.26925,0.26125,0.229,0.2235,0.23725,0.2695,0.275,0.274,0.28550000000000003,0.27325,0.291,0.3185,0.29424999999999996,0.27625,0.2705,0.27475000000000005,0.23575,0.17250000000000001
949,0.25525,0.26925,0.26925,0.261,0.229,0.223,0.23675,0.26975000000000005,0.275,0.27375000000000005,0.285,0.273,0.291,0.318,0.294,0.27675000000000005,0.27,0.275,0.23575,0.17250000000000001
950,0.2625,0.278,0.2765,0.27125,0.23775,0.23324999999999999,0.24475,0.2795,0.2865,0.2825,0.2945,0.28224999999999995,0.2995,0.32975000000000004,0.3035,0.286,0.2805,0.28375,0.24325,0.17725
951,0.27325,0.28725,0.28674999999999995,0.2805,0.24775,0.24175,0.2545,0.28824999999999995,0.29525,0.2925,0.30324999999999996,0.29275,0.30875,0.34025000000000005,0.315,0.2955,0.2925,0.295,0.252,0.18325
952,0.2775,0.28975,0.2895,0.2825,0.2505,0.24375,0.25725,0.29024999999999995,0.29624999999999996,0.2955,0.307,0.2955,0.3095,0.34249999999999997,0.31675000000000003,0.297,0.2955,0.29824999999999996,0.253,0.18475
953,0.279,0.291,0.2905,0.284,0.25225,0.24425,0.261,0.2915,0.2975,0.29675,0.3085,0.29624999999999996,0.3115,0.34425,0.318,0.299,0.297,0.2985,0.256,0.18525
954,0.279,0.29325,0.29225,0.286,0.254,0.2465,0.2625,0.2925,0.29924999999999996,0.2985,0.31074999999999997,0.29925,0.3135,0.34574999999999995,0.319,0.3025,0.2995,0.30124999999999996,0.259,0.186
