Heat Sweep RT,,
Heat Sweep RT 2,"Date : 20/07/2021, 10:44:07",
Wavelength (nm),ABS,%T
469,0.462,34.5
470,0.461,34.6
471,0.46,34.7
472,0.459,34.7
473,0.458,34.9
474,0.456,35
475,0.454,35.1
476,0.452,35.3
477,0.451,35.4
478,0.451,35.4
479,0.449,35.5
480,0.447,35.7
481,0.443,36.1
482,0.439,36.4
483,0.438,36.5
484,0.44,36.3
485,0.442,36.1
486,0.44,36.3
487,0.439,36.4
488,0.439,36.4
489,0.439,36.4
490,0.436,36.7
491,0.435,36.7
492,0.436,36.7
493,0.436,36.7
494,0.434,36.8
495,0.431,37.1
496,0.43,37.2
497,0.43,37.2
498,0.429,37.2
499,0.429,37.3
500,0.428,37.3
501,0.427,37.4
502,0.425,37.6
503,0.424,37.6
504,0.424,37.7
505,0.422,37.8
506,0.421,38
507,0.419,38.1
508,0.418,38.2
509,0.417,38.3
510,0.416,38.4
511,0.416,38.4
512,0.415,38.5
513,0.415,38.5
514,0.413,38.6
515,0.411,38.8
516,0.41,38.9
517,0.41,38.9
518,0.41,38.9
519,0.41,38.9
520,0.409,39
521,0.407,39.2
522,0.405,39.4
523,0.403,39.5
524,0.4,39.8
525,0.397,40.1
526,0.397,40.1
527,0.397,40.1
528,0.399,39.9
529,0.401,39.7
530,0.401,39.7
531,0.397,40.1
532,0.397,40.1
533,0.397,40.1
534,0.396,40.2
535,0.395,40.3
536,0.395,40.3
537,0.392,40.5
538,0.389,40.8
539,0.387,41.1
540,0.387,41
541,0.389,40.8
542,0.389,40.8
543,0.391,40.7
544,0.39,40.7
545,0.389,40.8
546,0.388,40.9
547,0.388,40.9
548,0.388,40.9
549,0.386,41.2
550,0.383,41.4
551,0.381,41.6
552,0.381,41.6
553,0.381,41.6
554,0.381,41.6
555,0.38,41.7
556,0.379,41.8
557,0.378,41.9
558,0.377,42
559,0.375,42.1
560,0.372,42.5
561,0.369,42.7
562,0.369,42.8
563,0.367,43
564,0.365,43.1
565,0.366,43.1
566,0.366,43.1
567,0.366,43.1
568,0.365,43.2
569,0.364,43.3
570,0.363,43.4
571,0.363,43.4
572,0.363,43.4
573,0.362,43.4
574,0.362,43.4
575,0.362,43.4
576,0.362,43.4
577,0.362,43.5
578,0.362,43.5
579,0.36,43.6
580,0.36,43.7
581,0.359,43.8
582,0.358,43.9
583,0.357,44
584,0.356,44
585,0.356,44.1
586,0.355,44.2
587,0.354,44.3
588,0.354,44.3
589,0.353,44.3
590,0.353,44.3
591,0.353,44.4
592,0.352,44.5
593,0.35,44.6
594,0.349,44.7
595,0.348,44.8
596,0.349,44.8
597,0.35,44.7
598,0.35,44.7
599,0.349,44.7
600,0.349,44.8
601,0.347,44.9
602,0.346,45.1
603,0.345,45.1
604,0.346,45.1
605,0.346,45.1
606,0.346,45.1
607,0.344,45.3
608,0.343,45.4
609,0.343,45.4
610,0.343,45.4
611,0.343,45.4
612,0.343,45.4
613,0.343,45.4
614,0.343,45.4
615,0.342,45.5
616,0.341,45.6
617,0.341,45.6
618,0.341,45.6
619,0.34,45.7
620,0.34,45.7
621,0.339,45.8
622,0.338,45.9
623,0.337,46
624,0.337,46.1
625,0.336,46.1
626,0.336,46.2
627,0.336,46.2
628,0.336,46.2
629,0.336,46.2
630,0.335,46.2
631,0.334,46.3
632,0.334,46.3
633,0.334,46.3
634,0.334,46.4
635,0.333,46.4
636,0.333,46.5
637,0.332,46.5
638,0.332,46.6
639,0.331,46.6
640,0.331,46.7
641,0.33,46.7
642,0.33,46.8
643,0.33,46.8
644,0.329,46.9
645,0.328,47
646,0.328,47
647,0.328,47
648,0.327,47.1
649,0.327,47.1
650,0.326,47.2
651,0.326,47.2
652,0.326,47.2
653,0.325,47.3
654,0.325,47.3
655,0.325,47.3
656,0.323,47.5
657,0.322,47.7
658,0.321,47.7
659,0.322,47.7
660,0.322,47.7
661,0.322,47.7
662,0.322,47.7
663,0.322,47.7
664,0.322,47.7
665,0.321,47.7
666,0.32,47.8
667,0.32,47.9
668,0.32,47.9
669,0.319,47.9
670,0.319,48
671,0.319,48
672,0.319,48
673,0.318,48
674,0.318,48.1
675,0.317,48.1
676,0.317,48.2
677,0.316,48.3
678,0.316,48.3
679,0.315,48.4
680,0.315,48.4
681,0.315,48.4
682,0.315,48.4
683,0.315,48.4
684,0.315,48.4
685,0.315,48.5
686,0.314,48.5
687,0.313,48.6
688,0.313,48.6
689,0.312,48.7
690,0.312,48.8
691,0.312,48.8
692,0.311,48.8
693,0.311,48.9
694,0.311,48.9
695,0.31,48.9
696,0.308,49.2
697,0.307,49.3
698,0.307,49.3
699,0.307,49.3
700,0.307,49.3
701,0.307,49.3
702,0.307,49.3
703,0.307,49.3
704,0.307,49.3
705,0.307,49.3
706,0.307,49.3
707,0.307,49.4
708,0.306,49.4
709,0.306,49.4
710,0.306,49.4
711,0.305,49.6
712,0.304,49.6
713,0.304,49.7
714,0.304,49.7
715,0.303,49.7
716,0.303,49.7
717,0.303,49.7
718,0.303,49.7
719,0.303,49.7
720,0.303,49.8
721,0.303,49.8
722,0.303,49.8
723,0.302,49.9
724,0.302,49.9
725,0.302,49.9
726,0.302,49.9
727,0.3,50.1
728,0.3,50.1
729,0.3,50.1
730,0.3,50.1
731,0.3,50.1
732,0.301,50.1
733,0.3,50.2
734,0.3,50.2
735,0.3,50.2
736,0.299,50.2
737,0.299,50.3
738,0.298,50.3
739,0.297,50.5
