wavelength,blank,S6 Preheat,S6 Irrad 9,S6 Post irrad Day 1,S6 Post Irrad Day 3,S6 Post Irrad Day 5
505,97.8,36.33333333,26.225,27.97142857,28.4,30.1
506,97.8,36.56666667,26.325,28.12857143,28.5,30.2
507,97.9,36.7,26.5,28.22857143,28.6,30.4
508,97.9,36.83333333,26.575,28.37142857,28.7,30.5
509,97.9,36.9,26.65,28.47142857,28.8,30.6
510,97.8,37.03333333,26.725,28.51428571,28.9,30.7
511,97.8,37.13333333,26.75,28.57142857,29,30.8
512,97.8,37.13333333,26.775,28.6,29,30.8
513,97.7,37.2,26.825,28.61428571,29,30.8
514,97.8,37.4,26.95,28.8,29.1,31
515,97.8,37.7,27.1,28.97142857,29.3,31.1
516,97.8,37.86666667,27.275,29.15714286,29.4,31.3
517,97.9,37.9,27.275,29.14285714,29.5,31.4
518,97.9,37.9,27.2,29.07142857,29.6,31.4
519,97.8,37.76666667,27.175,29.08571429,29.5,31.3
520,97.8,37.8,27.2,29.12857143,29.5,31.2
521,97.8,38.06666667,27.35,29.31428571,29.6,31.4
522,97.8,38.4,27.625,29.58571429,29.9,31.6
523,97.8,38.66666667,27.825,29.72857143,30,31.9
524,97.7,38.86666667,28.025,29.88571429,30.2,32.1
525,97.9,39.16666667,28.125,30.02857143,30.4,32.2
526,97.9,39.23333333,28.25,30.17142857,30.5,32.4
527,97.9,39.2,28.125,30.11428571,30.6,32.5
528,97.8,38.66666667,27.825,29.75714286,30.5,32.3
529,97.8,38.43333333,27.65,29.67142857,30.2,31.9
530,97.8,38.66666667,27.85,29.88571429,30.1,31.8
531,97.7,39.03333333,28.05,30.02857143,30.4,32.1
532,97.7,39.1,28.025,30.07142857,30.5,32.3
533,97.7,39.06666667,28.025,30.05714286,30.5,32.3
534,97.8,39.1,28.025,30.08571429,30.5,32.2
535,97.8,39.2,28.05,30.21428571,30.6,32.3
536,97.7,39.23333333,28.125,30.3,30.7,32.4
537,97.7,39.53333333,28.275,30.44285714,30.8,32.5
538,97.6,39.86666667,28.575,30.74285714,31,32.7
539,97.6,40.33333333,28.75,31.01428571,31.4,33.2
540,97.6,40.3,28.675,31.01428571,31.6,33.5
541,97.6,40,28.525,30.77142857,31.4,33.4
542,97.6,39.8,28.375,30.58571429,31.2,33
543,97.7,39.8,28.35,30.67142857,31.1,32.8
544,97.7,39.9,28.425,30.7,31.3,32.8
545,97.7,40.13333333,28.475,30.9,31.4,32.9
546,97.7,40.2,28.525,30.92857143,31.4,33.1
547,97.7,40.16666667,28.5,30.92857143,31.4,33.1
548,97.6,40.13333333,28.475,31.01428571,31.5,33.1
549,97.6,40.33333333,28.625,31.15714286,31.5,33.3
550,97.6,40.63333333,28.8,31.34285714,31.8,33.5
551,97.7,40.83333333,28.875,31.42857143,31.9,33.7
552,97.7,40.93333333,28.85,31.45714286,32.1,33.7
553,97.8,40.93333333,28.85,31.48571429,32.1,33.7
554,97.8,41,28.85,31.5,32.1,33.8
555,97.8,41.1,28.9,31.62857143,32.1,33.9
556,97.9,41.26666667,29,31.65714286,32.2,33.9
557,98,41.36666667,29.075,31.75714286,32.3,34
558,97.9,41.53333333,29.125,31.87142857,32.5,34.2
559,97.9,41.7,29.125,31.94285714,32.6,34.3
560,97.9,42.23333333,29.35,32.07142857,32.8,34.8
561,98,42.46666667,29.525,32.24285714,32.8,35
562,98,42.6,29.6,32.31428571,32.9,35.2
563,98,42.96666667,29.775,32.52857143,33.1,35.4
564,97.9,43.03333333,29.775,32.6,33.5,35.6
565,98,43.06666667,29.75,32.6,33.5,35.7
566,98,43,29.675,32.58571429,33.5,35.7
567,98,43,29.65,32.62857143,33.5,35.7
568,98,43.13333333,29.65,32.64285714,33.6,35.7
569,98,43.4,29.75,32.74285714,33.7,35.8
570,98,43.46666667,29.75,32.85714286,33.9,36
571,97.9,43.46666667,29.75,32.84285714,34,36
572,98,43.46666667,29.75,32.81428571,34,36
573,98,43.43333333,29.7,32.78571429,34,36
574,98,43.43333333,29.65,32.8,34,36
575,98,43.43333333,29.6,32.8,34,36
576,98,43.4,29.5,32.8,34,36
577,98,43.43333333,29.475,32.8,34,36
578,97.9,43.5,29.475,32.85714286,34.1,36
579,97.9,43.63333333,29.5,32.92857143,34.1,36.1
580,98,43.8,29.5,33.01428571,34.2,36.2
581,98,43.93333333,29.525,33.07142857,34.3,36.3
582,98,44,29.55,33.11428571,34.4,36.4
583,98.1,44.1,29.575,33.15714286,34.5,36.5
584,98.2,44.16666667,29.575,33.2,34.5,36.6
585,98.2,44.3,29.575,33.28571429,34.6,36.7
586,98.2,44.5,29.575,33.37142857,34.7,36.8
587,98.1,44.56666667,29.575,33.42857143,34.8,36.8
588,98,44.6,29.6,33.42857143,34.9,36.9
589,98.1,44.7,29.575,33.44285714,34.9,37.1
590,98.1,44.7,29.5,33.45714286,34.9,37.1
591,98.1,44.76666667,29.5,33.48571429,34.9,37.1
592,98.1,44.9,29.525,33.58571429,35,37.2
593,98.1,45.1,29.6,33.68571429,35.1,37.4
594,98.1,45.2,29.6,33.77142857,35.3,37.5
595,98.1,45.26666667,29.6,33.77142857,35.4,37.6
596,98.2,45.23333333,29.45,33.75714286,35.5,37.7
597,98.1,45.03333333,29.375,33.65714286,35.4,37.6
598,98.1,44.96666667,29.275,33.58571429,35.3,37.5
599,98,45,29.25,33.65714286,35.3,37.5
600,98,45.3,29.35,33.74285714,35.4,37.5
601,98.1,45.6,29.45,33.92857143,35.7,37.8
602,98.1,45.83333333,29.525,34.05714286,35.9,37.9
603,98.2,45.93333333,29.525,34.05714286,36,38.1
604,98.1,45.83333333,29.4,34.08571429,35.9,38.2
605,98,45.63333333,29.275,34,35.8,38.1
606,98,45.53333333,29.225,34,35.8,38
607,98,45.7,29.225,34.04285714,35.8,38
608,98,45.83333333,29.275,34.14285714,35.9,38.2
609,98,45.86666667,29.225,34.14285714,36,38.3
610,98,45.83333333,29.175,34.07142857,36,38.2
611,98,45.73333333,29.075,34.02857143,36,38.2
612,97.9,45.76666667,29.1,34.02857143,36,38.2
