S10 Preheat,,
S10 Preheat 1,"Date : 28/07/2021, 14:59:12",
Wavelength (nm),ABS,%T
543,0.353,44.3
544,0.352,44.5
545,0.35,44.7
546,0.349,44.7
547,0.35,44.7
548,0.35,44.7
549,0.35,44.7
550,0.346,45.1
551,0.343,45.4
552,0.343,45.4
553,0.343,45.4
554,0.343,45.4
555,0.342,45.5
556,0.341,45.6
557,0.339,45.8
558,0.338,46
559,0.337,46
560,0.33,46.7
561,0.328,47
562,0.326,47.2
563,0.323,47.5
564,0.322,47.6
565,0.322,47.6
566,0.323,47.5
567,0.323,47.5
568,0.323,47.6
569,0.321,47.8
570,0.318,48
571,0.318,48.1
572,0.319,48
573,0.319,47.9
574,0.319,47.9
575,0.319,48
576,0.319,48
577,0.319,47.9
578,0.319,47.9
579,0.318,48.1
580,0.317,48.2
581,0.316,48.4
582,0.315,48.4
583,0.314,48.6
584,0.313,48.6
585,0.313,48.7
586,0.311,48.8
587,0.31,48.9
588,0.309,49.1
589,0.309,49.1
590,0.309,49.1
591,0.309,49.1
592,0.308,49.2
593,0.306,49.4
594,0.305,49.6
595,0.304,49.6
596,0.304,49.7
597,0.305,49.6
598,0.307,49.3
599,0.307,49.3
600,0.306,49.5
601,0.303,49.7
602,0.301,50
603,0.299,50.3
604,0.299,50.3
605,0.299,50.2
606,0.3,50.1
607,0.3,50.1
608,0.298,50.3
609,0.298,50.3
610,0.299,50.3
611,0.299,50.2
612,0.299,50.2
613,0.299,50.3
614,0.297,50.4
615,0.297,50.5
616,0.296,50.5
617,0.296,50.6
618,0.295,50.7
619,0.294,50.8
620,0.294,50.8
621,0.294,50.9
622,0.293,50.9
623,0.292,51.1
624,0.29,51.3
625,0.289,51.5
626,0.288,51.5
627,0.289,51.4
628,0.29,51.3
629,0.29,51.3
630,0.29,51.3
631,0.289,51.4
632,0.288,51.5
633,0.287,51.6
634,0.287,51.6
635,0.287,51.7
636,0.286,51.7
637,0.286,51.7
638,0.286,51.8
639,0.285,51.9
640,0.285,51.9
641,0.284,52
642,0.284,52
643,0.284,52.1
644,0.282,52.2
645,0.282,52.3
646,0.282,52.3
647,0.281,52.4
648,0.28,52.4
649,0.28,52.5
650,0.279,52.6
651,0.278,52.7
652,0.278,52.8
653,0.278,52.8
654,0.278,52.8
655,0.277,52.9
656,0.276,53
657,0.275,53.1
658,0.273,53.3
659,0.273,53.3
660,0.273,53.3
661,0.275,53.1
662,0.276,53
663,0.276,53
664,0.275,53.1
665,0.275,53.1
666,0.274,53.2
667,0.273,53.3
668,0.272,53.4
669,0.272,53.5
670,0.272,53.5
671,0.272,53.5
672,0.272,53.5
673,0.272,53.5
674,0.27,53.7
675,0.27,53.7
676,0.27,53.8
677,0.269,53.8
678,0.268,54
679,0.267,54.1
680,0.267,54.1
681,0.267,54.1
682,0.268,54
683,0.268,54
684,0.268,54
685,0.267,54.1
686,0.267,54.1
687,0.265,54.3
688,0.265,54.3
689,0.264,54.4
690,0.264,54.4
691,0.264,54.5
692,0.263,54.5
693,0.263,54.6
694,0.262,54.7
695,0.262,54.7
696,0.26,54.9
697,0.259,55.1
698,0.259,55.1
699,0.259,55.1
700,0.26,55
701,0.26,54.9
702,0.261,54.8
703,0.261,54.8
704,0.261,54.8
705,0.261,54.8
706,0.26,54.9
707,0.259,55.1
708,0.258,55.2
709,0.258,55.2
710,0.258,55.2
711,0.258,55.3
712,0.257,55.3
713,0.257,55.3
714,0.257,55.3
715,0.256,55.4
716,0.256,55.5
717,0.256,55.5
718,0.256,55.5
719,0.256,55.5
720,0.256,55.5
721,0.255,55.6
722,0.254,55.7
723,0.254,55.7
724,0.254,55.7
725,0.254,55.7
726,0.254,55.7
727,0.253,55.9
728,0.253,55.9
729,0.253,55.9
730,0.253,55.8
731,0.254,55.8
732,0.253,55.8
733,0.253,55.9
734,0.252,56
735,0.252,56
736,0.252,56
737,0.251,56.1
738,0.251,56.1
