wavelength,S10 Irrad 1,S10 Irrad 2,S10 Irrad 3,S10 Irrad 4,S10 Irrad 5,S10 Irrad 6,S10 Irrad 7,S10 Irrad 8,S10 Postheat,S10 Preheat,blank
263,0.9715,1.0745,1.1435,1.2186000000000001,1.2005000000000001,1.196,1.1947500000000002,1.163,0.72325,0.6855,0.003
264,0.9627499999999999,1.0662500000000001,1.136,1.2091999999999998,1.192,1.1869999999999998,1.186,1.151,0.71575,0.6765,0.004
265,0.9549999999999998,1.058,1.129,1.199,1.1832500000000001,1.17825,1.177,1.142,0.7052499999999999,0.66675,0.004
266,0.94675,1.0505,1.1195000000000002,1.1905999999999999,1.1742500000000002,1.1695000000000002,1.16675,1.133,0.6962499999999999,0.657,0.005
267,0.93825,1.0427499999999998,1.1105,1.1834,1.16575,1.162,1.159,1.125,0.688,0.6485,0.005
268,0.93325,1.0382500000000001,1.1062500000000002,1.1784000000000001,1.16025,1.158,1.15475,1.121,0.6827500000000001,0.64275,0.005
269,0.93025,1.0370000000000001,1.10325,1.1768,1.15875,1.1552499999999999,1.152,1.118,0.6785000000000001,0.63975,0.006
270,0.927,1.0325,1.1002500000000002,1.1738,1.15675,1.1535,1.149,1.116,0.67425,0.636,0.006
271,0.92275,1.0292499999999998,1.09575,1.169,1.15225,1.148,1.145,1.112,0.66875,0.62975,0.006
272,0.92025,1.0265,1.09325,1.1665999999999999,1.14975,1.1447500000000002,1.1424999999999998,1.11,0.664,0.625,0.006
273,0.92,1.0277500000000002,1.09425,1.1687999999999998,1.14975,1.1469999999999998,1.1444999999999999,1.112,0.6645000000000001,0.625,0.006
274,0.92125,1.0294999999999999,1.09725,1.1718,1.1532499999999999,1.152,1.14875,1.113,0.6652500000000001,0.627,0.006
275,0.92125,1.02975,1.098,1.1720000000000002,1.1544999999999999,1.1525,1.149,1.114,0.665,0.627,0.007
276,0.9215,1.029,1.0985,1.1722000000000001,1.1549999999999998,1.1532499999999999,1.1492499999999999,1.114,0.663,0.6245,0.007
277,0.921,1.0285,1.0985,1.174,1.1555,1.1532499999999999,1.14975,1.115,0.6587500000000001,0.6225,0.007
278,0.921,1.0294999999999999,1.09975,1.1751999999999998,1.1567500000000002,1.1557499999999998,1.1505,1.116,0.657,0.61975,0.007
279,0.9212499999999999,1.0305,1.10325,1.178,1.1592500000000001,1.1575000000000002,1.15525,1.119,0.6565000000000001,0.6194999999999999,0.008
280,0.9215,1.031,1.1035,1.1812,1.161,1.16,1.158,1.12,0.65625,0.61925,0.008
281,0.9215000000000001,1.031,1.10375,1.1818,1.1615,1.161,1.158,1.121,0.6555,0.617,0.008
282,0.9199999999999999,1.03175,1.1045,1.1831999999999998,1.1624999999999999,1.1617499999999998,1.15875,1.122,0.651,0.61275,0.009
283,0.9205000000000001,1.03325,1.10675,1.1862,1.16525,1.165,1.163,1.129,0.65025,0.61225,0.01
284,0.9217500000000001,1.0365,1.10925,1.191,1.1724999999999999,1.16975,1.16625,1.132,0.65,0.61325,0.01
285,0.922,1.039,1.1125,1.1936,1.1745,1.1725,1.1684999999999999,1.135,0.649,0.61275,0.01
286,0.922,1.03925,1.1145,1.195,1.1755,1.173,1.17075,1.137,0.6460000000000001,0.61025,0.01
287,0.922,1.04075,1.1167500000000001,1.1994,1.17875,1.17675,1.1740000000000002,1.141,0.64425,0.6094999999999999,0.01
288,0.9227500000000001,1.04475,1.1215000000000002,1.2054,1.1837499999999999,1.1835,1.179,1.146,0.64425,0.60925,0.009
289,0.924,1.0467499999999998,1.12325,1.2088,1.18725,1.1872500000000001,1.1835,1.148,0.64375,0.6087499999999999,0.009
290,0.9235,1.04725,1.1245,1.2092000000000003,1.1875,1.1872500000000001,1.1837499999999999,1.148,0.6415,0.6065,0.009
291,0.9235,1.04725,1.1245,1.211,1.1885,1.18875,1.1854999999999998,1.151,0.64025,0.6039999999999999,0.009
292,0.9245,1.0515,1.1287500000000001,1.217,1.193,1.19025,1.1905000000000001,1.154,0.6395000000000001,0.6039999999999999,0.009
293,0.925,1.0525,1.13075,1.2182,1.1955,1.1942499999999998,1.19425,1.157,0.639,0.60325,0.009
294,0.925,1.0527499999999999,1.131,1.2188,1.1960000000000002,1.1949999999999998,1.19525,1.157,0.6365,0.6012500000000001,0.009
295,0.9252500000000001,1.052,1.1312499999999999,1.2192,1.1960000000000002,1.19525,1.1945,1.157,0.633,0.60025,0.011
296,0.9252500000000001,1.0525,1.13225,1.2202,1.1960000000000002,1.19575,1.1945,1.159,0.63225,0.599,0.01
297,0.925,1.0525,1.1332499999999999,1.221,1.19725,1.1975000000000002,1.1955,1.16,0.6305000000000001,0.597,0.01
298,0.92625,1.0534999999999999,1.1349999999999998,1.2238,1.1975,1.1995,1.19775,1.162,0.63,0.596,0.01
299,0.928,1.0565,1.1375,1.2272,1.20225,1.20225,1.201,1.163,0.63025,0.5964999999999999,0.012
300,0.9287500000000001,1.05675,1.1384999999999998,1.2278,1.2037499999999999,1.20325,1.20325,1.164,0.62975,0.5964999999999999,0.01
301,0.92725,1.05625,1.13725,1.228,1.2037499999999999,1.203,1.202,1.164,0.6275,0.59575,0.011
302,0.9262500000000001,1.056,1.13725,1.2272,1.203,1.203,1.202,1.164,0.62575,0.59475,0.011
