wavelength,S7 Clean,S7 Unclean
427,30.700000000000003,32.900000000000006
428,30.775,32.900000000000006
429,30.824999999999996,32.900000000000006
430,30.799999999999997,32.900000000000006
431,30.85,32.95
432,30.950000000000003,33.05
433,31.025000000000002,33.05
434,31.025000000000002,33.075
435,31.025000000000002,33.125
436,31.125,33.175
437,31.174999999999997,33.225
438,31.225,33.3
439,31.25,33.35
440,31.275,33.375
441,31.3,33.4
442,31.4,33.425
443,31.525,33.45
444,31.549999999999997,33.5
445,31.625,33.575
446,31.65,33.65
447,31.65,33.65
448,31.65,33.725
449,31.75,33.775
450,31.85,33.849999999999994
451,31.9,33.900000000000006
452,31.975,33.95
453,31.975,33.95
454,32.05,34.075
455,32.1,34.15
456,32.175,34.2
457,32.300000000000004,34.3
458,32.4,34.525
459,32.475,34.6
460,32.475,34.55
461,32.5,34.55
462,32.625,34.599999999999994
463,32.650000000000006,34.7
464,32.775,34.8
465,32.825,34.9
466,32.900000000000006,34.95
467,32.975,35.05
468,33.10000000000001,35.125
469,33.150000000000006,35.2
470,33.225,35.3
471,33.35,35.4
472,33.400000000000006,35.575
473,33.475,35.650000000000006
474,33.575,35.7
475,33.775,35.9
476,33.85,36.0
477,33.975,36.125
478,34.05,36.2
479,34.175,36.3
480,34.400000000000006,36.6
481,34.8,37.025000000000006
482,35.075,37.35
483,35.125,37.425
484,34.825,37.075
485,34.775,36.9
486,34.975,37.099999999999994
487,34.975,37.175000000000004
488,34.975,37.15
489,35.1,37.25
490,35.35,37.55
491,35.425,37.650000000000006
492,35.325,37.475
493,35.45,37.55
494,35.650000000000006,37.775
495,35.85,38.074999999999996
496,35.95,38.2
497,36.025,38.25
498,36.075,38.275
499,36.175,38.35
500,36.3,38.425000000000004
501,36.4,38.575
502,36.5,38.7
503,36.575,38.849999999999994
504,36.650000000000006,38.925
505,36.75,39.025000000000006
506,36.85,39.2
507,36.975,39.324999999999996
508,37.125,39.475
509,37.150000000000006,39.525
510,37.25,39.650000000000006
511,37.3,39.675000000000004
512,37.325,39.725
513,37.425,39.8
514,37.575,40.0
515,37.77499999999999,40.275
516,37.95,40.45
517,37.974999999999994,40.45
518,37.974999999999994,40.425000000000004
519,37.95,40.425000000000004
520,37.975,40.5
521,38.15,40.824999999999996
522,38.4,41.05
523,38.675,41.225
524,38.825,41.400000000000006
525,38.975,41.675
526,39.2,41.925000000000004
527,39.150000000000006,41.8
528,38.724999999999994,41.4
529,38.675,41.275
530,38.849999999999994,41.4
531,39.05,41.75
532,39.1,41.8
533,39.1,41.8
534,39.175,41.925000000000004
535,39.325,42.05
536,39.375,42.125
537,39.55,42.325
538,39.925000000000004,42.775
539,40.325,43.05
540,40.224999999999994,43.05
541,39.95,42.825
542,39.9,42.7
543,39.900000000000006,42.725
544,40.05,42.875
545,40.125,42.925000000000004
546,40.199999999999996,43.0
547,40.25,43.0
548,40.325,43.075
549,40.400000000000006,43.3
550,40.65,43.575
551,40.775000000000006,43.75
552,40.8,43.8
553,40.900000000000006,43.85
554,41.05,43.875
555,41.125,43.975
556,41.199999999999996,44.10000000000001
557,41.349999999999994,44.275
558,41.45,44.375
559,41.6,44.52499999999999
560,42.075,44.925
561,42.3,45.2
562,42.525,45.4
563,42.7,45.6
564,42.825,45.7
565,42.875,45.75
566,42.9,45.75
567,42.9,45.8
568,43.05,45.900000000000006
569,43.225,46.10000000000001
570,43.25,46.175
571,43.3,46.175
572,43.3,46.150000000000006
573,43.3,46.150000000000006
574,43.325,46.3
575,43.325,46.3
576,43.375,46.275
577,43.400000000000006,46.275
578,43.400000000000006,46.4
579,43.575,46.525000000000006
580,43.699999999999996,46.625
581,43.849999999999994,46.725
582,43.925000000000004,46.9
583,44.05,46.949999999999996
584,44.1,47.0
585,44.22500000000001,47.150000000000006
586,44.325,47.225
587,44.375,47.35
588,44.5,47.4
589,44.525000000000006,47.4
590,44.525000000000006,47.45
591,44.575,47.474999999999994
592,44.699999999999996,47.675000000000004
593,44.849999999999994,47.825
594,45.05,48.02499999999999
595,45.074999999999996,48.075
596,45.074999999999996,48.0
597,45.0,47.925
