Ud Qb Fibers,,
Ud Qb Fibers 1,"Date : 29/10/2021, 14:40:31",
Wavelength (nm),ABS,%T
337,0.195,63.8
338,0.193,64.1
339,0.188,64.9
340,0.184,65.5
341,0.185,65.3
342,0.188,64.9
343,0.19,64.6
344,0.19,64.5
345,0.189,64.7
346,0.186,65.2
347,0.185,65.4
348,0.183,65.6
349,0.18,66
350,0.179,66.3
351,0.181,66
352,0.185,65.3
353,0.192,64.3
354,0.197,63.5
355,0.202,62.9
356,0.203,62.6
357,0.203,62.6
358,0.203,62.6
359,0.203,62.6
360,0.204,62.5
361,0.206,62.2
362,0.208,61.9
363,0.21,61.6
364,0.21,61.6
365,0.21,61.7
366,0.21,61.7
367,0.212,61.4
368,0.213,61.2
369,0.213,61.3
370,0.208,61.9
371,0.201,63
372,0.191,64.4
373,0.181,65.9
374,0.178,66.4
375,0.178,66.4
376,0.181,66
377,0.182,65.8
378,0.182,65.8
379,0.179,66.2
380,0.171,67.5
381,0.163,68.6
382,0.16,69.2
383,0.162,68.9
384,0.164,68.6
385,0.164,68.6
386,0.159,69.4
387,0.156,69.8
388,0.157,69.7
389,0.159,69.3
390,0.147,71.2
391,0.137,72.9
392,0.134,73.5
393,0.133,73.6
394,0.132,73.8
395,0.132,73.8
396,0.132,73.8
397,0.132,73.8
398,0.132,73.8
399,0.134,73.4
400,0.135,73.3
401,0.137,72.9
402,0.137,72.9
403,0.136,73.2
404,0.132,73.7
405,0.13,74.2
406,0.129,74.3
407,0.129,74.2
408,0.131,74
409,0.133,73.7
410,0.134,73.4
411,0.134,73.4
412,0.133,73.7
413,0.132,73.9
414,0.132,73.9
415,0.132,73.9
416,0.132,73.8
417,0.132,73.8
418,0.132,73.7
419,0.133,73.7
420,0.133,73.7
421,0.133,73.6
422,0.134,73.4
423,0.135,73.3
424,0.135,73.3
425,0.136,73.2
426,0.136,73.1
427,0.137,73
428,0.137,73
429,0.137,73
430,0.136,73.1
431,0.135,73.3
432,0.135,73.3
433,0.135,73.2
434,0.138,72.8
435,0.141,72.4
436,0.142,72.1
437,0.142,72
438,0.139,72.6
439,0.134,73.5
440,0.129,74.2
441,0.129,74.3
442,0.13,74.1
443,0.131,73.9
444,0.133,73.6
445,0.135,73.3
446,0.136,73.2
447,0.136,73.1
448,0.136,73.1
449,0.136,73.1
450,0.135,73.2
451,0.135,73.3
452,0.135,73.3
453,0.135,73.2
454,0.135,73.2
455,0.136,73.1
456,0.137,72.9
457,0.14,72.5
458,0.142,72.2
459,0.141,72.2
460,0.14,72.4
461,0.137,72.9
462,0.133,73.5
463,0.132,73.8
464,0.132,73.8
465,0.132,73.8
466,0.134,73.5
467,0.135,73.3
468,0.135,73.3
469,0.136,73.2
470,0.136,73.2
471,0.136,73.1
472,0.136,73.2
473,0.136,73.2
474,0.136,73.1
475,0.138,72.8
476,0.139,72.6
477,0.142,72.1
478,0.145,71.6
479,0.147,71.3
480,0.145,71.6
481,0.141,72.3
482,0.133,73.7
483,0.128,74.5
484,0.128,74.6
485,0.129,74.3
486,0.131,74
487,0.133,73.7
488,0.136,73.2
489,0.138,72.8
490,0.139,72.6
491,0.14,72.5
492,0.14,72.5
493,0.141,72.3
494,0.141,72.2
495,0.143,72
496,0.144,71.7
497,0.145,71.5
498,0.145,71.6
499,0.144,71.8
500,0.144,71.8
501,0.142,72
502,0.143,72
503,0.144,71.8
504,0.146,71.4
505,0.149,71
506,0.151,70.7
507,0.152,70.5
508,0.152,70.5
509,0.152,70.5
510,0.152,70.4
511,0.152,70.4
512,0.152,70.5
513,0.152,70.5
514,0.151,70.6
515,0.15,70.7
516,0.15,70.8
517,0.149,71
518,0.148,71.2
519,0.145,71.6
520,0.144,71.8
521,0.144,71.8
522,0.144,71.8
523,0.145,71.7
524,0.145,71.6
525,0.145,71.5
526,0.145,71.5
527,0.145,71.5
528,0.146,71.5
529,0.146,71.4
530,0.146,71.4
531,0.146,71.4
532,0.146,71.4
533,0.147,71.3
534,0.147,71.3
535,0.148,71.2
536,0.148,71.1
537,0.149,71
538,0.149,71
539,0.149,70.9
540,0.149,71
541,0.15,70.9
542,0.152,70.4
543,0.152,70.4
544,0.151,70.6
545,0.15,70.8
