wavelength,S10 Irrad 1,S10 Irrad 2,S10 Irrad 3,S10 Irrad 4,S10 Irrad 5,S10 Irrad 6,S10 Irrad 7,S10 Irrad 8,S10 Postheat,S10 Preheat,blank
291,11.899999999999999,8.975,7.5,6.139999999999999,6.475,6.475,6.525,7.1,22.925,24.925,98.0
292,11.899999999999999,8.875,7.449999999999999,6.040000000000001,6.4,6.449999999999999,6.449999999999999,7.0,22.95,24.925,97.9
293,11.899999999999999,8.850000000000001,7.4,6.040000000000001,6.375,6.4,6.4,7.0,22.974999999999998,24.925,97.9
294,11.899999999999999,8.850000000000001,7.4,6.0200000000000005,6.375,6.375000000000001,6.375,7.0,23.05,25.05,97.9
295,11.899999999999999,8.850000000000001,7.4,6.0200000000000005,6.375,6.4,6.4,7.0,23.275000000000002,25.1,97.6
296,11.899999999999999,8.850000000000001,7.375,6.0200000000000005,6.375,6.375,6.375,6.9,23.3,25.175,97.6
297,11.899999999999999,8.850000000000001,7.3500000000000005,6.0200000000000005,6.375,6.3500000000000005,6.375,6.9,23.425,25.275,97.7
298,11.825,8.825000000000001,7.3500000000000005,5.9799999999999995,6.3500000000000005,6.325,6.325,6.9,23.45,25.325,97.7
299,11.8,8.825000000000001,7.3,5.92,6.2749999999999995,6.3,6.3,6.9,23.425,25.325,97.4
300,11.8,8.8,7.2749999999999995,5.92,6.2749999999999995,6.2749999999999995,6.2749999999999995,6.9,23.45,25.3,97.8
301,11.8,8.775,7.3,5.92,6.2749999999999995,6.2749999999999995,6.2749999999999995,6.9,23.6,25.375,97.6
302,11.850000000000001,8.8,7.3,5.92,6.2749999999999995,6.2749999999999995,6.2749999999999995,6.9,23.65,25.4,97.6
303,11.875,8.8,7.325,5.92,6.2749999999999995,6.3,6.3,6.9,23.700000000000003,25.525,97.6
304,11.875,8.825000000000001,7.325,6.0,6.325,6.3,6.3,6.9,23.875,25.624999999999996,97.8
305,11.899999999999999,8.875,7.375,6.0200000000000005,6.4,6.375000000000001,6.425000000000001,7.0,23.999999999999996,25.800000000000004,97.9
306,11.975,8.975,7.449999999999999,6.08,6.475,6.475,6.475,7.1,24.200000000000003,26.125,97.9
307,12.1,9.075,7.525,6.180000000000001,6.575,6.55,6.6,7.1,24.4,26.349999999999998,97.9
308,12.200000000000001,9.175,7.65,6.279999999999999,6.675000000000001,6.65,6.699999999999999,7.2,24.625,26.549999999999997,97.9
309,12.25,9.25,7.775,6.32,6.8,6.75,6.7749999999999995,7.3,24.775000000000002,26.775,98.0
310,12.325,9.325000000000001,7.825,6.4,6.8500000000000005,6.825,6.8500000000000005,7.4,24.825000000000003,26.775,98.0
311,12.350000000000001,9.375,7.9,6.459999999999999,6.9,6.8500000000000005,6.925000000000001,7.5,24.875,26.799999999999997,98.0
312,12.424999999999999,9.475,8.0,6.5600000000000005,7.0,6.949999999999999,7.025,7.6,24.9,26.875,98.1
313,12.55,9.6,8.1,6.7,7.15,7.125,7.15,7.7,25.1,27.05,98.2
314,12.675,9.75,8.3,6.8,7.325,7.3,7.325,7.9,25.35,27.349999999999998,98.2
315,12.725000000000001,9.825000000000001,8.4,6.9,7.425000000000001,7.4,7.425000000000001,8.0,25.35,27.349999999999998,98.1
316,12.725000000000001,9.825000000000001,8.4,6.94,7.475,7.425000000000001,7.475,8.1,25.225,27.2,98.0
317,12.8,9.924999999999999,8.525,7.1,7.625,7.55,7.65,8.3,25.25,27.275,98.0
318,12.975,10.125,8.75,7.3,7.8500000000000005,7.8,7.875,8.5,25.499999999999996,27.675,98.1
319,13.125,10.325000000000001,8.924999999999999,7.42,8.05,7.975,8.075,8.7,25.675,27.775,98.1
320,13.200000000000001,10.424999999999999,9.075,7.5600000000000005,8.175,8.125,8.2,8.9,25.725,27.799999999999997,98.1
321,13.399999999999999,10.625,9.3,7.8,8.424999999999999,8.350000000000001,8.424999999999999,9.1,25.924999999999997,27.925,98.1
322,13.675,10.924999999999999,9.6,8.1,8.75,8.7,8.75,9.4,26.425,28.500000000000004,98.3
323,13.899999999999999,11.15,9.875,8.3,9.0,8.95,9.025,9.7,26.674999999999997,28.775,98.2
324,13.950000000000001,11.25,10.0,8.4,9.15,9.1,9.175,9.9,26.6,28.725,98.2
325,13.950000000000001,11.325,10.075,8.5,9.275,9.225,9.3,10.0,26.525000000000002,28.5,98.2
326,14.0,11.45,10.2,8.66,9.399999999999999,9.375,9.475,10.2,26.474999999999998,28.5,98.2
327,14.125,11.625,10.4,8.9,9.625,9.575,9.7,10.5,26.549999999999997,28.525000000000002,98.3
328,14.349999999999998,11.850000000000001,10.675,9.1,9.899999999999999,9.825000000000001,9.95,10.7,26.700000000000003,28.75,98.3
329,14.549999999999999,12.125,10.9,9.4,10.175,10.125,10.25,11.0,26.95,29.0,98.3
330,14.8,12.350000000000001,11.2,9.62,10.5,10.45,10.575,11.4,27.175,29.299999999999997,98.3
331,15.025,12.625,11.5,9.9,10.8,10.775000000000002,10.899999999999999,11.7,27.5,29.6,98.3
332,15.200000000000001,12.825,11.75,10.16,11.075,11.025,11.15,12.0,27.6,29.724999999999998,98.3
333,15.274999999999999,12.975,11.924999999999999,10.3,11.275000000000002,11.200000000000001,11.325,12.2,27.55,29.7,98.1
334,15.349999999999998,13.1,12.075000000000001,10.5,11.475,11.375,11.525,12.4,27.5,29.650000000000002,98.2
335,15.524999999999999,13.325,12.274999999999999,10.74,11.675,11.65,11.8,12.7,27.6,29.7,98.2
336,15.75,13.575,12.575000000000001,11.0,12.0,11.95,12.1,13.0,27.799999999999997,29.949999999999996,98.2
337,15.950000000000001,13.825,12.85,11.26,12.275000000000002,12.25,12.4,13.3,27.974999999999998,30.150000000000002,98.3
338,16.125,14.025,13.075000000000001,11.5,12.575,12.475,12.675,13.6,28.075000000000003,30.175,98.3
339,16.3,14.25,13.3,11.739999999999998,12.825,12.775000000000002,12.975,13.8,28.15,30.299999999999997,98.3
340,16.525,14.5,13.65,12.06,13.175,13.1,13.275000000000002,14.2,28.35,30.575,98.3
341,16.8,14.775000000000002,13.975,12.4,13.525,13.475,13.65,14.6,28.6,30.85,98.3
342,17.0,15.075,14.3,12.7,13.875,13.825,14.0,14.9,28.875,31.175,98.3
343,17.2,15.325,14.575000000000001,13.0,14.15,14.075,14.325,15.2,28.974999999999998,31.225,98.3
344,17.225,15.424999999999999,14.65,13.1,14.3,14.275000000000002,14.475,15.4,28.849999999999998,31.049999999999997,98.3
345,17.275,15.5,14.8,13.14,14.375,14.375,14.575,15.6,28.700000000000003,30.95,98.0
346,17.375,15.65,14.975,13.4,14.625,14.575,14.8,15.8,28.674999999999997,30.925,98.1
347,17.6,15.899999999999999,15.275000000000002,13.720000000000002,14.95,14.899999999999999,15.125,16.1,28.799999999999997,31.099999999999998,98.1
348,17.9,16.225,15.625,14.02,15.3,15.275000000000002,15.5,16.5,29.075000000000003,31.375,98.2
349,18.125,16.475,15.9,14.319999999999999,15.625,15.575,15.850000000000001,16.8,29.225,31.525,98.1
350,18.325000000000003,16.7,16.15,14.6,15.925,15.899999999999999,16.15,17.1,29.349999999999998,31.749999999999996,97.9
351,18.55,17.0,16.5,14.919999999999998,16.275,16.25,16.549999999999997,17.5,29.599999999999998,32.025,97.8
352,18.775000000000002,17.3,16.8,15.2,16.6,16.575,16.85,17.8,29.700000000000003,32.075,97.8
353,18.875,17.424999999999997,16.975,15.4,16.875,16.85,17.05,18.0,29.775,32.1,97.8
354,19.075,17.65,17.174999999999997,15.7,17.1,17.2,17.375,18.3,29.775,32.3,97.8
355,19.225,17.849999999999998,17.475,15.919999999999998,17.300000000000004,17.475,17.65,18.5,29.824999999999996,32.475,97.7
356,19.325,17.975,17.55,16.1,17.5,17.525,17.7,18.6,29.875,32.475,97.6
357,19.325,18.049999999999997,17.625,16.14,17.525,17.525,17.775000000000002,18.8,29.8,32.375,97.3
358,19.5,18.225,18.0,16.46,17.7,17.900000000000002,18.15,18.8,29.900000000000002,32.375,97.3
359,19.75,18.6,18.35,16.72,18.175,18.275,18.549999999999997,19.3,30.075,32.475,97.2
360,19.875,18.65,18.45,16.82,18.325000000000003,18.375,18.625,19.4,30.075,32.425,97.2
361,19.85,18.525,18.424999999999997,16.8,18.25,18.15,18.575000000000003,19.4,29.450000000000003,31.875,97.1
362,19.725,18.5,18.425,16.759999999999998,18.225,18.15,18.525000000000002,19.4,29.25,31.775,97.1
363,19.725,18.6,18.474999999999998,16.94,18.275,18.25,18.575,19.8,29.325000000000003,31.675,97.1
364,19.85,18.95,18.75,17.22,18.55,18.575,18.924999999999997,20.1,29.4,31.625000000000004,97.2
365,20.174999999999997,19.200000000000003,19.025,17.52,18.925,18.95,19.225,20.3,29.725,31.775,97.4
366,20.375,19.4,19.224999999999998,17.74,19.2,19.25,19.425,20.5,29.725,32.025,97.4
367,20.5,19.55,19.475,17.919999999999998,19.375,19.375,19.65,20.7,29.75,32.05,97.4
368,20.75,19.875,19.75,18.220000000000002,19.700000000000003,19.725,19.975,21.0,29.925000000000004,32.35,97.4
369,20.975,20.075,20.025,18.580000000000002,19.974999999999998,20.0,20.325000000000003,21.2,30.125,32.575,97.5
370,21.200000000000003,20.300000000000004,20.2,18.72,20.25,20.25,20.525000000000002,21.4,30.200000000000003,32.65,97.5
371,21.35,20.45,20.375,18.88,20.325000000000003,20.4,20.725,21.6,30.275,32.7,97.6
372,21.525000000000002,20.6,20.6,19.12,20.525,20.65,20.85,21.7,30.35,32.775,97.7
373,21.674999999999997,20.9,20.9,19.419999999999998,20.8,20.900000000000002,21.15,21.8,30.45,33.0,97.6
374,21.85,21.125,21.125,19.660000000000004,21.125,21.25,21.424999999999997,22.1,30.575,33.025,97.6
375,22.0,21.200000000000003,21.25,19.82,21.275000000000002,21.35,21.575,22.3,30.624999999999996,33.075,97.6
376,21.975,21.200000000000003,21.3,19.82,21.25,21.300000000000004,21.599999999999998,22.3,30.5,33.075,97.5
377,21.799999999999997,21.175,21.25,19.8,21.200000000000003,21.275,21.55,22.3,30.2,32.8,97.8
