wavelength,blank,S9 Preheat,S9 Postheat,S9 Postheat Day 1,S9 Irrad 1,S9 Irrad 2,S9 Irrad 3,S9 Irrad 4,S9 Irrad 5,S9 Irrad 6,S9 Irrad 6 Redo,S9 Irrad 7,S9 Irrad 8,S9 Irrad 9,S9 Irrad 10,S9 Irrad 11,S9 Irrad 12,S9 Irrad 13,S9 Irrad 14,S9 Irrad 15
256,0.867,0.76475,0.8364,0.877333333,1.81175,2.143,2.268,2.37075,2.4695,2.476,2.53925,2.62125,2.68475,2.68375,2.69825,2.691,2.7265,2.7755,2.71625,2.65725
257,0.846,0.74125,0.8146,0.856,1.76225,2.074,2.1864,2.28775,2.3835,2.38575,2.44875,2.53,2.5825,2.585,2.6045,2.59625,2.63325,2.684,2.61575,2.564
258,0.825,0.72125,0.7922,0.835,1.714,2.00925,2.114,2.20775,2.30075,2.30125,2.3615,2.4415,2.49275,2.49175,2.5105,2.504,2.53975,2.59075,2.51725,2.47525
259,0.803,0.70125,0.7708,0.814,1.66875,1.9485,2.042,2.13175,2.2215,2.21775,2.2745,2.3495,2.4,2.39575,2.41875,2.41075,2.444,2.49275,2.4165,2.381
260,0.785,0.684,0.751,0.794666667,1.62875,1.89625,1.983,2.066,2.1535,2.14825,2.2035,2.2705,2.32075,2.3135,2.3345,2.326,2.35775,2.4065,2.33,2.29525
261,0.775,0.67175,0.7396,0.785,1.60075,1.85625,1.939,2.01675,2.10275,2.09575,2.14975,2.20825,2.255,2.25,2.2705,2.2645,2.29225,2.3355,2.2625,2.2295
262,0.769,0.66525,0.7324,0.777333333,1.58275,1.8235,1.9064,1.98175,2.061,2.0535,2.1075,2.15525,2.203,2.19425,2.21475,2.21275,2.2355,2.2745,2.2055,2.17425
263,0.758,0.655,0.7262,0.767666667,1.5635,1.79325,1.8726,1.9455,2.0185,2.01625,2.06325,2.1075,2.14875,2.14125,2.16075,2.1605,2.18125,2.217,2.15025,2.11875
264,0.749,0.646,0.717,0.759333333,1.5425,1.762,1.8392,1.9055,1.973,1.9695,2.014,2.05275,2.0945,2.08475,2.10175,2.101,2.12025,2.15425,2.0935,2.05875
265,0.74,0.63675,0.7086,0.750666667,1.521,1.72875,1.7998,1.86025,1.926,1.91775,1.96125,1.99575,2.03475,2.021,2.03825,2.03475,2.054,2.08725,2.02775,1.99575
266,0.731,0.62775,0.698,0.741666667,1.49825,1.69625,1.7612,1.81825,1.88025,1.86725,1.907,1.9395,1.9765,1.96075,1.97625,1.97175,1.99025,2.023,1.96425,1.934
267,0.722,0.61975,0.6894,0.733,1.4785,1.669,1.7284,1.78125,1.8385,1.82325,1.8595,1.889,1.925,1.9085,1.92175,1.9165,1.9335,1.9665,1.90825,1.8815
268,0.717,0.61475,0.6832,0.728,1.46325,1.647,1.702,1.7505,1.80625,1.788,1.82025,1.84725,1.8815,1.86275,1.87675,1.86775,1.88525,1.918,1.86125,1.83575
269,0.715,0.611,0.679,0.724,1.452,1.62925,1.681,1.72625,1.77825,1.75925,1.789,1.8135,1.845,1.825,1.83825,1.8285,1.84425,1.878,1.822,1.797
270,0.709,0.60725,0.6742,0.719333333,1.443,1.6125,1.6616,1.7045,1.75275,1.7325,1.76075,1.78125,1.8125,1.79125,1.80425,1.794,1.80975,1.8415,1.78675,1.76225
271,0.703,0.6015,0.669,0.713666667,1.43175,1.59625,1.6422,1.68225,1.728,1.7065,1.73225,1.751,1.781,1.75825,1.7715,1.75925,1.77375,1.805,1.751,1.72925
272,0.698,0.59725,0.664,0.709,1.42225,1.58275,1.6248,1.663,1.706,1.68175,1.705,1.72325,1.75275,1.72875,1.741,1.728,1.7415,1.77225,1.71975,1.69875
273,0.698,0.597,0.663,0.708666667,1.4195,1.57525,1.6154,1.65175,1.69325,1.66675,1.6875,1.70375,1.7335,1.70675,1.7185,1.705,1.71775,1.749,1.69725,1.677
274,0.699,0.5975,0.6632,0.709333333,1.41875,1.5705,1.6096,1.644,1.682,1.65575,1.675,1.68925,1.71675,1.68975,1.701,1.687,1.69975,1.729,1.68,1.6585
275,0.698,0.59625,0.6626,0.709,1.417,1.56425,1.6018,1.63475,1.67,1.6455,1.6635,1.673,1.699,1.67275,1.68375,1.66775,1.6805,1.7095,1.66225,1.63975
276,0.696,0.5935,0.661,0.707666667,1.4135,1.555,1.5926,1.62325,1.65675,1.63,1.6465,1.65575,1.68175,1.65325,1.66325,1.647,1.6595,1.6875,1.64125,1.6205
277,0.692,0.59025,0.6566,0.702666667,1.40975,1.5485,1.5834,1.61275,1.64475,1.6175,1.6305,1.63975,1.663,1.6365,1.6445,1.62775,1.64075,1.668,1.62175,1.60225
278,0.691,0.58925,0.6554,0.702,1.408,1.543,1.5778,1.60525,1.637,1.60675,1.61825,1.62675,1.65,1.6215,1.6305,1.6135,1.62575,1.653,1.60675,1.58725
279,0.691,0.58875,0.654,0.702,1.40725,1.542,1.575,1.59925,1.6295,1.60025,1.6115,1.617,1.641,1.6105,1.61875,1.601,1.61275,1.63925,1.5955,1.5745
280,0.69,0.58775,0.6536,0.700666667,1.408,1.53925,1.5694,1.59325,1.625,1.591,1.6,1.607,1.6295,1.5985,1.60725,1.588,1.6015,1.62375,1.58075,1.56125
281,0.686,0.584,0.6504,0.697,1.40775,1.5375,1.5662,1.5885,1.6165,1.58375,1.58925,1.595,1.6175,1.587,1.5955,1.5755,1.587,1.6115,1.56975,1.55025
282,0.682,0.58075,0.6468,0.693666667,1.406,1.535,1.5618,1.583,1.61175,1.57575,1.581,1.58625,1.60825,1.57725,1.584,1.56475,1.57475,1.6005,1.557,1.53825
283,0.681,0.5795,0.6458,0.691666667,1.40525,1.53525,1.5608,1.583,1.60825,1.5715,1.57875,1.58125,1.60225,1.57025,1.578,1.55575,1.56825,1.5935,1.55125,1.53275
284,0.681,0.57825,0.6442,0.691666667,1.406,1.534,1.5604,1.583,1.60725,1.57025,1.57625,1.578,1.598,1.56625,1.573,1.55225,1.56375,1.5905,1.54875,1.52775
285,0.679,0.57775,0.6432,0.691666667,1.4065,1.5335,1.56,1.58075,1.603,1.56875,1.57375,1.57275,1.59225,1.56075,1.56475,1.547,1.55675,1.5805,1.54,1.52075
286,0.677,0.577,0.6392,0.688666667,1.4065,1.53275,1.5584,1.57775,1.60225,1.5635,1.56675,1.5675,1.5845,1.5545,1.5595,1.5395,1.55125,1.574,1.53225,1.51425
287,0.673,0.575,0.6368,0.686666667,1.40725,1.53275,1.558,1.5755,1.59975,1.561,1.56325,1.5645,1.581,1.55125,1.5565,1.53425,1.54475,1.568,1.52725,1.50925
288,0.673,0.57425,0.6378,0.686333333,1.412,1.53275,1.5582,1.57575,1.5995,1.5605,1.56275,1.5625,1.58025,1.5485,1.55475,1.531,1.54,1.566,1.5265,1.5075
289,0.671,0.573,0.637,0.684666667,1.41225,1.53275,1.5576,1.576,1.5975,1.55925,1.5615,1.5585,1.57825,1.54475,1.552,1.5265,1.5375,1.56075,1.52175,1.5015
290,0.666,0.57025,0.6318,0.681333333,1.41175,1.53225,1.5556,1.57275,1.59325,1.557,1.55725,1.55275,1.5705,1.53775,1.54375,1.52125,1.5315,1.55375,1.5145,1.49525
291,0.665,0.567,0.6312,0.679666667,1.41175,1.53225,1.5552,1.57,1.58975,1.5535,1.5515,1.5495,1.56675,1.53425,1.54,1.5145,1.52475,1.551,1.50825,1.49225
292,0.664,0.56575,0.63,0.678666667,1.41275,1.5325,1.5556,1.5705,1.5905,1.5515,1.55125,1.549,1.56625,1.53275,1.53675,1.51325,1.5225,1.5485,1.507,1.49025
293,0.664,0.56525,0.6286,0.678666667,1.4135,1.53275,1.5552,1.571,1.59025,1.5505,1.55025,1.54825,1.56575,1.53175,1.53675,1.512,1.5215,1.54675,1.50625,1.48675
294,0.662,0.56125,0.627,0.674333333,1.414,1.53025,1.5532,1.57,1.58875,1.5465,1.54625,1.5455,1.56075,1.52625,1.5315,1.50525,1.5145,1.54075,1.5,1.4825
295,0.659,0.55925,0.624,0.673,1.4125,1.52875,1.5528,1.56775,1.5855,1.5435,1.54225,1.5395,1.5555,1.523,1.52725,1.5,1.509,1.53425,1.49575,1.47825
296,0.654,0.5565,0.6232,0.671333333,1.41125,1.52825,1.5512,1.56775,1.58425,1.542,1.53975,1.53625,1.55225,1.5195,1.52275,1.49675,1.50525,1.53225,1.49375,1.475
297,0.654,0.5555,0.6224,0.670333333,1.411,1.52775,1.5502,1.567,1.582,1.5385,1.53725,1.53475,1.5485,1.5165,1.51775,1.4945,1.504,1.52975,1.492,1.47175
298,0.653,0.55475,0.622,0.668666667,1.411,1.52725,1.5496,1.56525,1.5815,1.53825,1.53625,1.53275,1.5465,1.5155,1.5165,1.49325,1.50325,1.5275,1.49,1.46925
299,0.653,0.55475,0.6216,0.668666667,1.412,1.5275,1.5492,1.5645,1.57975,1.53825,1.53575,1.532,1.54525,1.51375,1.51575,1.4925,1.50175,1.52575,1.48825,1.466
300,0.653,0.5545,0.6206,0.668333333,1.41225,1.52725,1.548,1.564,1.578,1.53675,1.5325,1.52875,1.54025,1.50975,1.514,1.48825,1.49575,1.5235,1.483,1.46275
301,0.652,0.55425,0.62,0.666666667,1.40925,1.5215,1.5434,1.56025,1.57325,1.532,1.526,1.52175,1.536,1.5045,1.5085,1.482,1.4905,1.51475,1.47675,1.457
302,0.649,0.55175,0.6162,0.663,1.40625,1.51475,1.539,1.55375,1.56525,1.5265,1.521,1.5135,1.53075,1.496,1.50225,1.47575,1.48275,1.50825,1.471,1.451
303,0.648,0.5505,0.6142,0.660333333,1.40325,1.51025,1.5336,1.548,1.56125,1.52075,1.51575,1.5085,1.5235,1.491,1.49375,1.46875,1.479,1.502,1.4675,1.446
304,0.647,0.5485,0.6122,0.660333333,1.4005,1.504,1.529,1.543,1.554,1.51475,1.5115,1.50325,1.51875,1.48475,1.48775,1.4635,1.474,1.4965,1.46075,1.4385
305,0.643,0.54525,0.6092,0.658666667,1.3925,1.495,1.5184,1.53525,1.5475,1.50725,1.503,1.49675,1.50975,1.47625,1.47925,1.45575,1.46475,1.48775,1.45075,1.43175
306,0.64,0.54,0.6042,0.654,1.384,1.48625,1.5074,1.5245,1.53775,1.49675,1.4915,1.48575,1.5,1.46775,1.47025,1.4465,1.45475,1.478,1.4415,1.4225
307,0.637,0.53575,0.6012,0.648333333,1.37475,1.47625,1.498,1.5145,1.52675,1.4875,1.48175,1.4745,1.4895,1.45775,1.4595,1.437,1.44475,1.469,1.43075,1.411
308,0.631,0.53225,0.5972,0.643666667,1.364,1.4655,1.4882,1.50325,1.51525,1.4765,1.47025,1.46225,1.4795,1.4465,1.44775,1.426,1.433,1.45825,1.421,1.40025
