wavelength,Heat Sweep 100C,Heat Sweep 150C,Heat Sweep 200C,Heat Sweep 230,Heat Sweep 50C,Heat Sweep RT
244,1.021,1.0425,1.0667499999999999,1.0473333333333334,1.01,1.0134
245,1.01025,1.0295,1.0587499999999999,1.0446666666666669,0.9974999999999999,1.0006
246,0.99,1.0107499999999998,1.041,1.0250000000000001,0.97725,0.9816
247,0.97325,0.99575,1.0245,1.0043333333333333,0.9592499999999999,0.9663999999999999
248,0.9605,0.9835,1.00975,0.9923333333333333,0.949,0.9545999999999999
249,0.9492499999999999,0.971,0.9947499999999999,0.9796666666666667,0.93625,0.9416
250,0.9305000000000001,0.9527499999999999,0.9784999999999999,0.9656666666666668,0.9165,0.9214
251,0.907,0.92825,0.956,0.9436666666666667,0.8927499999999999,0.8952
252,0.88,0.90125,0.93025,0.9173333333333334,0.86625,0.8708
253,0.8567499999999999,0.879,0.9067500000000001,0.8923333333333333,0.843,0.851
254,0.83675,0.8605,0.8865000000000001,0.8726666666666668,0.8225,0.8320000000000001
255,0.8162499999999999,0.8379999999999999,0.8665,0.8533333333333334,0.8005,0.8110000000000002
256,0.7945000000000001,0.816,0.845,0.8323333333333333,0.7799999999999999,0.788
257,0.771,0.7927500000000001,0.822,0.8063333333333333,0.75825,0.7657999999999999
258,0.7477499999999999,0.7705,0.799,0.7840000000000001,0.7362500000000001,0.7436
259,0.7274999999999999,0.7505,0.777,0.761,0.716,0.7232
260,0.7117499999999999,0.7370000000000001,0.75875,0.7453333333333334,0.6994999999999999,0.7070000000000001
261,0.702,0.72875,0.745,0.7326666666666667,0.6912499999999999,0.6979999999999998
262,0.69775,0.7215,0.7389999999999999,0.727,0.6865000000000001,0.6926
263,0.692,0.7144999999999999,0.73275,0.7246666666666667,0.679,0.6872
264,0.6839999999999999,0.7054999999999999,0.7244999999999999,0.717,0.67,0.6794
265,0.674,0.69625,0.715,0.7056666666666667,0.6607500000000001,0.6700000000000002
266,0.6637500000000001,0.6862499999999999,0.706,0.695,0.6507499999999999,0.6608
267,0.65625,0.6787500000000001,0.6969999999999998,0.6843333333333333,0.6425,0.6526
268,0.651,0.6745,0.691,0.6779999999999999,0.63725,0.6479999999999999
269,0.647,0.671,0.68625,0.6733333333333333,0.633,0.6439999999999999
270,0.6427499999999999,0.666,0.682,0.6696666666666667,0.62875,0.6399999999999999
271,0.6365000000000001,0.66,0.6767500000000001,0.664,0.6225,0.6344000000000001
272,0.6335,0.6575000000000001,0.6719999999999999,0.6583333333333333,0.619,0.6314
273,0.63425,0.6585000000000001,0.6715,0.6576666666666666,0.61925,0.6325999999999999
274,0.63575,0.6595000000000001,0.67125,0.6596666666666667,0.6205,0.6336
275,0.63575,0.65925,0.67125,0.6593333333333334,0.61975,0.6336
276,0.632,0.65525,0.6685,0.658,0.617,0.6302
277,0.63025,0.6525,0.66525,0.654,0.61375,0.6284
278,0.62875,0.65225,0.6635,0.6533333333333333,0.6134999999999999,0.6275999999999999
279,0.62825,0.65225,0.6625,0.6523333333333333,0.612,0.6274
280,0.627,0.6495000000000001,0.6617500000000001,0.6513333333333334,0.61175,0.6268
281,0.6247499999999999,0.64625,0.66025,0.6486666666666667,0.60675,0.6234
282,0.62125,0.645,0.6567500000000001,0.648,0.6054999999999999,0.6214000000000001
283,0.6205,0.64475,0.65525,0.6456666666666667,0.60475,0.621
284,0.62075,0.64475,0.65525,0.6456666666666667,0.60475,0.6208
285,0.62025,0.644,0.65375,0.6446666666666667,0.6035,0.6208
286,0.6185,0.64125,0.65175,0.6436666666666667,0.6024999999999999,0.6188
287,0.61675,0.6405,0.6505000000000001,0.6393333333333334,0.60175,0.6188
288,0.61675,0.641,0.65,0.638,0.6012500000000001,0.6184000000000001
289,0.6164999999999999,0.64,0.6485000000000001,0.6386666666666667,0.5994999999999999,0.617
290,0.61375,0.63625,0.64525,0.6356666666666667,0.59375,0.6146
291,0.6105,0.63475,0.644,0.6336666666666667,0.5925,0.612
292,0.6105,0.63475,0.6425000000000001,0.6336666666666667,0.592,0.612
293,0.61025,0.6335,0.6425000000000001,0.633,0.59175,0.6113999999999999
294,0.60975,0.631,0.6415,0.6306666666666666,0.58925,0.6106
295,0.608,0.6295,0.63775,0.6263333333333333,0.5865,0.6093999999999999
296,0.606,0.6285000000000001,0.635,0.625,0.585,0.6062000000000001
297,0.6035,0.6275,0.6347499999999999,0.6243333333333333,0.5842499999999999,0.606
298,0.60375,0.62725,0.63425,0.6246666666666667,0.5834999999999999,0.6058
299,0.604,0.62725,0.634,0.625,0.58475,0.6068
300,0.60275,0.62725,0.63425,0.6243333333333333,0.585,0.6063999999999999
301,0.603,0.62575,0.633,0.623,0.58375,0.6054
302,0.60125,0.624,0.6315,0.6226666666666666,0.58275,0.6038
303,0.5992500000000001,0.6232500000000001,0.6299999999999999,0.622,0.5822499999999999,0.603
304,0.5987499999999999,0.623,0.627,0.621,0.57975,0.6015999999999999
305,0.59525,0.6194999999999999,0.6252500000000001,0.619,0.57575,0.597
306,0.5902499999999999,0.61625,0.6235,0.614,0.5722499999999999,0.5946
307,0.5884999999999999,0.61225,0.618,0.608,0.5685,0.5902000000000001
308,0.5842499999999999,0.608,0.61425,0.6046666666666666,0.5645,0.5871999999999999
309,0.5825,0.6067499999999999,0.6125,0.6016666666666667,0.5635,0.5862
310,0.58175,0.6067499999999999,0.61175,0.6013333333333333,0.5632499999999999,0.5862
311,0.5812499999999999,0.606,0.6107499999999999,0.601,0.5625,0.5856
312,0.57975,0.60525,0.61025,0.6006666666666667,0.56175,0.5845999999999999
313,0.5762499999999999,0.60175,0.6074999999999999,0.5973333333333333,0.558,0.5808
314,0.5732499999999999,0.599,0.60375,0.593,0.55525,0.5784
315,0.5742499999999999,0.6007499999999999,0.6034999999999999,0.5923333333333333,0.5565,0.5803999999999999
316,0.5752499999999999,0.6020000000000001,0.6044999999999999,0.5953333333333334,0.55725,0.5810000000000001
317,0.5734999999999999,0.60075,0.60375,0.5950000000000001,0.5562500000000001,0.579
