S8 Preheat,,
S8 Preheat 1,"Date : 22/07/2021, 10:44:14",
Wavelength (nm),ABS,%T
446,0.458,34.9
447,0.457,34.9
448,0.457,35
449,0.456,35
450,0.455,35.1
451,0.454,35.1
452,0.453,35.2
453,0.453,35.2
454,0.453,35.2
455,0.453,35.3
456,0.451,35.4
457,0.45,35.5
458,0.448,35.6
459,0.447,35.7
460,0.447,35.7
461,0.448,35.7
462,0.448,35.7
463,0.447,35.7
464,0.446,35.8
465,0.444,36
466,0.443,36
467,0.443,36
468,0.443,36.1
469,0.442,36.1
470,0.442,36.1
471,0.439,36.4
472,0.439,36.4
473,0.438,36.5
474,0.435,36.7
475,0.435,36.7
476,0.433,36.9
477,0.433,36.9
478,0.432,37
479,0.429,37.3
480,0.426,37.5
481,0.422,37.8
482,0.419,38.1
483,0.417,38.3
484,0.419,38.1
485,0.422,37.9
486,0.421,37.9
487,0.42,38
488,0.421,38
489,0.42,38
490,0.418,38.2
491,0.416,38.4
492,0.417,38.3
493,0.417,38.3
494,0.417,38.3
495,0.415,38.5
496,0.412,38.7
497,0.412,38.8
498,0.411,38.8
499,0.41,38.9
500,0.408,39.1
501,0.406,39.2
502,0.405,39.3
503,0.403,39.5
504,0.402,39.7
505,0.401,39.7
506,0.399,39.9
507,0.398,40
508,0.396,40.2
509,0.395,40.2
510,0.395,40.3
511,0.394,40.4
512,0.394,40.4
513,0.392,40.5
514,0.391,40.7
515,0.389,40.8
516,0.387,41
517,0.386,41.1
518,0.387,41.1
519,0.387,41.1
520,0.387,41.1
521,0.385,41.2
522,0.383,41.4
523,0.38,41.6
524,0.378,41.8
525,0.376,42.1
526,0.375,42.2
527,0.375,42.2
528,0.375,42.1
529,0.379,41.8
530,0.378,41.9
531,0.374,42.3
532,0.373,42.4
533,0.373,42.4
534,0.373,42.3
535,0.372,42.5
536,0.372,42.5
537,0.37,42.7
538,0.366,43
539,0.364,43.2
540,0.363,43.3
541,0.365,43.1
542,0.368,42.9
543,0.367,42.9
544,0.367,42.9
545,0.365,43.2
546,0.364,43.3
547,0.364,43.3
548,0.364,43.2
549,0.363,43.4
550,0.361,43.5
551,0.359,43.7
552,0.358,43.8
553,0.358,43.8
554,0.358,43.8
555,0.357,43.9
556,0.357,43.9
557,0.356,44.1
558,0.354,44.3
559,0.352,44.4
560,0.346,45.1
561,0.344,45.3
562,0.342,45.5
563,0.34,45.7
564,0.339,45.8
565,0.338,45.9
566,0.338,45.9
567,0.338,45.9
568,0.338,45.9
569,0.338,46
570,0.336,46.1
571,0.335,46.2
572,0.335,46.2
573,0.335,46.2
574,0.335,46.2
575,0.335,46.2
576,0.335,46.2
577,0.335,46.2
578,0.335,46.2
579,0.334,46.4
580,0.332,46.5
581,0.331,46.6
582,0.33,46.7
583,0.329,46.9
584,0.329,46.9
585,0.327,47.1
586,0.326,47.2
587,0.326,47.2
588,0.325,47.3
589,0.325,47.4
590,0.324,47.4
591,0.324,47.4
592,0.323,47.5
593,0.321,47.7
594,0.321,47.8
595,0.319,48
596,0.319,48
597,0.32,47.9
598,0.321,47.8
599,0.321,47.8
600,0.319,48
601,0.318,48.1
602,0.315,48.4
603,0.315,48.5
604,0.315,48.5
605,0.315,48.5
606,0.315,48.4
607,0.315,48.4
608,0.314,48.6
609,0.314,48.6
610,0.314,48.6
611,0.314,48.5
612,0.314,48.6
613,0.313,48.6
614,0.313,48.7
615,0.312,48.8
616,0.311,48.9
617,0.311,48.9
618,0.311,48.9
619,0.31,49
620,0.309,49.1
621,0.308,49.3
622,0.306,49.4
623,0.306,49.5
624,0.305,49.6
625,0.304,49.7
626,0.304,49.7
627,0.304,49.7
628,0.304,49.7
629,0.304,49.7
630,0.304,49.7
631,0.303,49.8
632,0.302,49.9
633,0.301,49.9
634,0.301,50
635,0.301,50
636,0.301,50
637,0.3,50.1
638,0.3,50.1
639,0.299,50.2
640,0.298,50.3
641,0.298,50.4
642,0.297,50.4
643,0.297,50.5
644,0.297,50.5
645,0.295,50.7
646,0.295,50.7
647,0.294,50.8
648,0.294,50.8
649,0.294,50.9
