wavelength,blank,S8 Postheat,S8 Preheat
507,98,50.98,39.55
508,98,51.08,39.725
509,98,51.2,39.8
510,98,51.3,39.85
511,97.9,51.3,39.9
512,97.9,51.3,39.95
513,97.9,51.32,40.025
514,97.8,51.36,40.125
515,97.9,51.58,40.325
516,97.9,51.72,40.475
517,97.9,51.84,40.65
518,97.9,51.8,40.6
519,97.9,51.76,40.575
520,97.9,51.76,40.55
521,97.9,51.86,40.7
522,97.9,52.04,40.85
523,97.9,52.32,41.15
524,97.9,52.46,41.375
525,98,52.62,41.575
526,98,52.76,41.8
527,98,52.82,41.8
528,98.1,52.7,41.725
529,98.1,52.32,41.325
530,97.4,52.08,41.35
531,97.4,52.36,41.725
532,97.5,52.5,41.8
533,97.5,52.52,41.775
534,97.5,52.5,41.775
535,97.4,52.5,41.825
536,97.5,52.64,41.875
537,97.6,52.74,42.075
538,97.6,52.98,42.4
539,97.6,53.34,42.725
540,97.7,53.48,42.875
541,97.7,53.28,42.6
542,97.7,53.08,42.325
543,97.6,52.96,42.3
544,97.6,53.06,42.35
545,97.6,53.24,42.525
546,97.6,53.34,42.725
547,97.6,53.32,42.75
548,97.6,53.32,42.725
549,97.5,53.38,42.85
550,97.5,53.58,43.05
551,97.5,53.72,43.2
552,97.7,53.92,43.275
553,97.8,53.94,43.325
554,97.8,53.94,43.325
555,97.7,53.96,43.4
556,97.7,54.04,43.475
557,97.7,54.14,43.6
558,97.8,54.28,43.775
559,97.8,54.36,43.925
560,98,54.84,44.55
561,98,54.96,44.75
562,97.9,55,44.9
563,97.9,55.22,45.1
564,98,55.42,45.275
565,98,55.46,45.35
566,98,55.38,45.325
567,97.9,55.32,45.35
568,97.9,55.36,45.4
569,97.9,55.54,45.5
570,97.9,55.64,45.65
571,97.8,55.66,45.75
572,97.8,55.66,45.75
573,97.8,55.64,45.75
574,97.9,55.66,45.75
575,97.9,55.66,45.725
576,97.9,55.64,45.7
577,97.9,55.6,45.7
578,97.9,55.66,45.725
579,97.9,55.74,45.925
580,97.9,55.9,46.075
581,97.9,55.92,46.125
582,97.9,56,46.3
583,98,56.08,46.4
584,98,56.16,46.4
585,98,56.22,46.55
586,98,56.36,46.675
587,98.1,56.52,46.775
588,98.1,56.54,46.85
589,98.2,56.58,46.9
590,98.1,56.58,46.925
591,98,56.56,46.925
592,98,56.64,47.025
593,98.1,56.8,47.225
594,98.1,56.9,47.35
595,98,56.96,47.525
596,98,57.02,47.525
597,98,56.96,47.45
598,98,56.76,47.275
599,97.9,56.74,47.3
600,97.9,56.82,47.45
601,98.1,57.1,47.675
602,98.1,57.34,47.9
603,98.1,57.4,48.05
604,98.2,57.42,48.05
605,98.1,57.38,48
606,98,57.16,47.9
607,98,57.22,47.925
608,98,57.28,48.075
609,98,57.38,48.075
610,98,57.38,48.075
611,98,57.3,48.025
612,98,57.34,48.1
613,98,57.38,48.125
614,98,57.48,48.2
615,98.1,57.62,48.3
616,98.1,57.68,48.35
617,98.2,57.76,48.425
618,98.2,57.8,48.45
619,98.2,57.88,48.55
620,98.2,57.92,48.65
621,98.1,57.94,48.8
622,98.1,58.02,48.9
623,98.1,58.12,49
624,98.1,58.26,49.125
625,98.1,58.3,49.225
626,98.2,58.36,49.225
627,98.2,58.34,49.225
628,98.1,58.28,49.2
629,98.1,58.26,49.2
630,98.1,58.28,49.2
631,98.1,58.32,49.275
632,98.1,58.42,49.425
633,98.2,58.54,49.5
634,98.2,58.54,49.525
635,98.2,58.56,49.525
636,98.2,58.56,49.525
637,98.1,58.58,49.6
638,98.1,58.6,49.65
639,98.2,58.68,49.7
640,98.2,58.76,49.85
641,98.2,58.78,49.9
642,98.3,58.9,50
643,98.3,58.92,50.05
644,98.3,58.98,50.075
645,98.3,59,50.225
646,98.3,59.04,50.25
647,98.5,59.2,50.325
648,98.5,59.22,50.375
649,98.5,59.26,50.45
650,98.4,59.3,50.5
651,98.4,59.32,50.55
652,98.4,59.34,50.575
653,98.4,59.36,50.6
654,98.4,59.36,50.65
655,98.4,59.42,50.7
656,98.3,59.52,50.825
657,98.3,59.68,51.05
658,98.4,59.78,51.15
659,98.4,59.84,51.25
660,98.4,59.78,51.125
661,98.3,59.66,51.075
662,98.3,59.6,50.975
663,98.2,59.58,50.95
664,98.2,59.62,51
665,98.2,59.68,51.1
666,98.1,59.76,51.225
667,98.2,59.82,51.325
668,98.2,59.94,51.425
669,98.2,59.94,51.45
670,98.2,59.94,51.475
671,98.2,59.98,51.5
672,98.2,60.02,51.55
673,98.2,60.04,51.575
674,98.2,60.14,51.6
675,98.2,60.14,51.675
676,98.2,60.18,51.775
677,98.2,60.24,51.85
678,98.2,60.36,52.1
679,98.2,60.44,52.175
680,98.2,60.5,52.225
681,98.3,60.54,52.2
682,98.2,60.46,52.15
683,98.2,60.38,52.175
684,98.2,60.38,52.175
685,98.2,60.38,52.2
686,98.2,60.48,52.25
687,98.2,60.52,52.325
688,98.2,60.54,52.425
689,98.2,60.6,52.475
690,98.2,60.66,52.525
691,98.2,60.72,52.575
692,98.2,60.78,52.6
693,98.2,60.8,52.675
694,98.3,60.88,52.75
695,98.3,60.92,52.8
696,98.4,61.1,52.975
697,98.4,61.26,53.125
698,98.4,61.34,53.225
699,98.4,61.34,53.225
700,98.4,61.3,53.15
701,98.3,61.12,53.125
702,98.3,61.04,53.025
703,98.2,61,53.025
704,98.2,61.06,53.025
705,98.3,61.12,53.1
706,98.3,61.2,53.15
707,98.3,61.26,53.175
708,98.3,61.34,53.275
709,98.3,61.38,53.3
710,98.4,61.44,53.325
711,98.4,61.44,53.375
712,98.4,61.5,53.4
713,98.4,61.52,53.4
714,98.4,61.54,53.525
715,98.4,61.6,53.55
716,98.4,61.64,53.55
717,98.4,61.66,53.6
718,98.3,61.62,53.625
719,98.4,61.64,53.6
720,98.4,61.64,53.625
721,98.4,61.66,53.6
722,98.5,61.76,53.6
723,98.5,61.84,53.675
724,98.6,61.88,53.7
725,98.6,61.88,53.725
726,98.7,62.06,53.825
727,98.7,62.1,53.9
728,98.7,62.16,53.925
729,99,62.42,53.875
730,99,62.52,53.85
731,99.1,62.56,53.85
732,99,62.58,53.875
733,99,62.6,53.875
734,99.1,62.68,53.95
735,99.1,62.68,54
736,99.1,62.68,54.05
737,99.1,62.7,54.1
738,99.1,62.7,54.225
739,98.9,62.64,54.5
740,98.8,62.62,54.625
741,98.7,62.6,54.725
742,98.7,62.62,54.775
743,98.7,62.62,54.825
744,98.7,62.7,54.975
745,98.6,62.66,55.075
746,98.6,62.68,55.125
747,98.6,62.7,55.175
748,98.6,62.74,55.175
749,98.6,62.78,55.225
750,98.6,62.82,55.225
751,98.6,62.84,55.275
752,98.6,62.86,55.35
753,98.6,62.94,55.425
754,98.6,62.96,55.475
755,98.5,62.92,55.525
756,98.6,62.98,55.575
757,98.6,62.98,55.65
758,98.6,62.98,55.625
759,98.4,62.92,55.65
760,98.5,63.02,55.675
761,98.6,63.06,55.725
762,98.6,63.06,55.7
763,98.5,63.32,55.875
764,98.4,63.44,56.15
765,98.4,63.42,56.15
766,98.4,63.34,56.125
767,98.4,63.28,56.125
768,98.4,63.24,56.075
769,98.4,63.26,56.1
770,98.5,63.32,56.15
771,98.4,63.26,56.125
772,98.4,63.26,56.2
773,98.4,63.28,56.225
774,98.3,63.26,56.225
775,98.2,63.24,56.225
776,98.3,63.26,56.325
777,98.2,63.26,56.575
778,98,63.22,56.575
779,97.8,63.24,56.6
780,98,63.42,56.65
781,98,63.4,56.675
782,98,63.48,56.725
783,98.1,63.5,56.7
784,98.1,63.52,56.675
785,98.1,63.56,56.75
786,98.2,63.6,56.85
787,98.2,63.66,56.9
788,98,63.6,57.1
789,98.1,63.72,57.275
790,98.1,63.74,57.475
791,98.1,63.76,57.575
792,98.1,63.76,57.7
793,98.1,63.76,57.725
794,98.1,63.76,57.8
795,98.1,63.74,57.775
796,98.1,63.72,57.775
797,98.2,63.78,57.8
798,98.3,63.8,57.725
799,98.3,63.8,57.775
800,98.3,63.82,57.825
801,98.4,63.96,57.825
802,98.5,64.06,57.925
803,98.6,64.22,58.075
