wavelength,blank,S8 Preheat,S8 Postheat,S8 Irrad 1,S8 Irrad 2,S8 Irrad 3,S8 Irrad 4,S8 Irrad 5,S8 Irrad 6,S8 Irrad 7,S8 Irrad 8,S8 Irrad 9,S8 Irrad 10,S8 Irrad 11,S8 Irrad 12,S8 Irrad 13,S8 Irrad 14,S8 Irrad 15,S8 PostIrrad Day 1,S8 PostIrrad Day 2,S8 PostIrrad Day 3,S8 PostIrrad Day 4,S8 PostIrrad Day 5
234,99.3,10.5,28.22,2.38,1.025,0.65,0.4,0.225,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
235,99.1,10.2,27.96,2.58,1.2,0.75,0.5,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
236,99,9.95,27.74,2.7,1.325,0.875,0.6,0.35,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
237,98.9,9.7,27.5,2.86,1.425,0.975,0.675,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
238,98.8,9.45,27.26,2.98,1.6,1.15,0.8,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
239,98.8,9.275,27.12,3.14,1.75,1.275,0.9,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
240,98.8,9.15,27.02,3.28,1.925,1.45,1.05,0.7,0.125,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
241,98.9,9.1,27.04,3.46,2.125,1.625,1.225,0.825,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
242,99.1,9.075,27.08,3.6,2.325,1.8,1.375,0.95,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
243,99.1,9.075,27.02,3.74,2.45,1.95,1.525,1.05,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
244,99.1,9.025,27,3.88,2.6,2.1,1.65,1.15,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
245,99.1,9.15,27.08,4.08,2.8,2.3,1.85,1.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
246,99.1,9.525,27.4,4.38,3.075,2.525,2.075,1.5,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
247,99.3,9.925,27.8,4.66,3.35,2.825,2.3,1.7,0.5,0.26,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
248,99.2,10.2,28.02,4.88,3.55,3.025,2.5,1.85,0.575,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
249,99.2,10.525,28.22,5.1,3.725,3.225,2.675,2,0.625,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
250,99.5,10.875,28.56,5.34,3.925,3.425,2.85,2.175,0.7,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
251,99.5,11.5,29.04,5.68,4.175,3.7,3.1,2.375,0.825,0.48,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.185714286,0.2,0.2,0.2
252,99.3,12.2,29.56,6.02,4.525,4,3.375,2.625,0.975,0.56,0.35,0.275,0.2,0.15,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2
253,99.4,12.875,30.18,6.4,4.825,4.275,3.65,2.85,1.125,0.68,0.4,0.3,0.3,0.2,0.175,0.1,0.1,0.1,0.2,0.2,0.2625,0.3,0.3
254,99.3,13.525,30.68,6.78,5.05,4.55,3.9,3.05,1.275,0.78,0.5,0.4,0.3,0.2,0.2,0.15,0.1,0.1,0.3,0.3,0.3,0.3,0.3
255,99.2,14.175,31.16,7.1,5.35,4.825,4.15,3.275,1.425,0.88,0.6,0.4,0.4,0.25,0.2,0.2,0.2,0.2,0.3,0.385714286,0.4,0.4,0.4
256,99.1,14.85,31.68,7.46,5.65,5.125,4.4,3.5,1.6,1.02,0.7,0.5,0.5,0.3,0.275,0.2,0.2,0.2,0.4,0.428571429,0.5,0.5,0.5
257,99.1,15.65,32.36,7.8,6,5.4,4.7,3.75,1.775,1.16,0.8,0.6,0.575,0.4,0.3,0.3,0.2,0.225,0.5,0.585714286,0.6,0.604,0.6875
258,99.1,16.425,33.02,8.2,6.325,5.725,5,4,2,1.36,0.9,0.7,0.7,0.45,0.4,0.3,0.3,0.3,0.6,0.7,0.741666667,0.8,0.8
259,99.1,17.25,33.7,8.64,6.65,6.05,5.3,4.25,2.2,1.54,1.075,0.875,0.8,0.55,0.475,0.4,0.375,0.4,0.8,0.871428571,0.9,0.996,1
260,99.4,18.05,34.38,9.02,6.95,6.325,5.6,4.525,2.425,1.68,1.2,1,0.9,0.65,0.55,0.5,0.4,0.45,0.9,1,1.091666667,1.172,1.2
261,99.4,18.5,34.78,9.2,7.15,6.525,5.775,4.625,2.6,1.84,1.325,1.1,1.025,0.75,0.6,0.55,0.5,0.5,1.1,1.2,1.254166667,1.3,1.375
262,99.4,18.7,34.9,9.4,7.225,6.675,5.9,4.775,2.725,1.96,1.45,1.2,1.125,0.825,0.7,0.6,0.575,0.6,1.2,1.314285714,1.404166667,1.5,1.5
263,99.3,18.975,35,9.6,7.35,6.85,5.975,4.875,2.85,2.1,1.55,1.3,1.225,0.925,0.8,0.7,0.65,0.7,1.4,1.5,1.566666667,1.656,1.7
264,99.3,19.35,35.34,9.8,7.55,7.025,6.15,5.025,2.975,2.22,1.675,1.4,1.35,1.05,0.9,0.8,0.75,0.8,1.6,1.685714286,1.745833333,1.804,1.8875
265,99.3,19.775,35.72,9.98,7.725,7.15,6.3,5.125,3.15,2.36,1.8,1.55,1.5,1.175,1,0.9,0.875,0.9,1.8,1.885714286,1.966666667,2.096,2.1
266,98.9,20.125,36.02,10.18,7.85,7.325,6.45,5.3,3.3,2.54,1.975,1.7,1.65,1.325,1.125,1.05,1,1.075,2,2.1,2.229166667,2.3,2.325
267,98.8,20.55,36.42,10.34,8.05,7.45,6.6,5.425,3.45,2.66,2.075,1.825,1.8,1.475,1.275,1.2,1.125,1.2,2.2,2.371428571,2.454166667,2.572,2.6
268,98.6,20.85,36.58,10.42,8.125,7.55,6.725,5.525,3.575,2.8,2.2,1.95,1.9,1.575,1.4,1.3,1.25,1.35,2.4,2.585714286,2.666666667,2.8,2.8
269,98.6,21.05,36.78,10.52,8.15,7.625,6.775,5.6,3.675,2.9,2.3,2.025,2.025,1.725,1.5,1.425,1.375,1.475,2.6,2.785714286,2.870833333,3,3
270,98.6,21.25,36.92,10.62,8.25,7.725,6.85,5.625,3.75,3,2.375,2.125,2.125,1.825,1.6,1.525,1.475,1.6,2.8,2.942857143,3.045833333,3.18,3.2
271,98.6,21.55,37.12,10.72,8.35,7.825,6.95,5.725,3.85,3.08,2.475,2.225,2.225,1.95,1.7,1.65,1.575,1.725,3,3.114285714,3.241666667,3.34,3.3875
272,98.6,21.75,37.34,10.8,8.425,7.85,6.975,5.775,3.925,3.16,2.575,2.325,2.325,2.075,1.825,1.75,1.725,1.85,3.2,3.3,3.441666667,3.524,3.5875
273,98.6,21.775,37.38,10.76,8.35,7.85,6.975,5.75,3.95,3.24,2.6,2.375,2.4,2.15,1.9,1.85,1.825,1.95,3.3,3.457142857,3.570833333,3.7,3.7
274,98.5,21.65,37.36,10.72,8.35,7.825,6.95,5.75,3.975,3.26,2.65,2.425,2.45,2.2,1.95,1.9,1.875,2.05,3.4,3.585714286,3.6875,3.8,3.8
275,98.6,21.725,37.38,10.74,8.35,7.825,6.95,5.75,3.975,3.28,2.7,2.45,2.525,2.275,2.025,1.975,1.975,2.15,3.5,3.685714286,3.8,3.9,3.9
276,98.3,21.825,37.38,10.74,8.35,7.85,6.95,5.75,4.025,3.34,2.775,2.5,2.575,2.375,2.1,2.075,2.05,2.25,3.7,3.8,3.9375,4.02,4.0625
277,98.2,21.925,37.52,10.8,8.35,7.875,6.95,5.75,4.05,3.36,2.8,2.6,2.625,2.45,2.2,2.15,2.15,2.35,3.8,3.942857143,4.070833333,4.188,4.1875
278,98.2,22,37.62,10.78,8.35,7.875,6.95,5.75,4.075,3.42,2.8,2.6,2.7,2.5,2.275,2.225,2.225,2.425,3.9,4.071428571,4.1875,4.292,4.3
279,98.2,22,37.68,10.78,8.35,7.825,6.925,5.7,4.075,3.44,2.85,2.6,2.725,2.575,2.3,2.275,2.275,2.5,4,4.171428571,4.270833333,4.376,4.3875
280,98.2,22.025,37.7,10.8,8.35,7.825,6.925,5.7,4.075,3.44,2.9,2.7,2.75,2.6,2.325,2.35,2.35,2.575,4.1,4.242857143,4.354166667,4.464,4.4875
281,98.2,22.1,37.86,10.8,8.35,7.825,6.9,5.7,4.075,3.46,2.9,2.7,2.775,2.675,2.4,2.4,2.425,2.625,4.2,4.328571429,4.454166667,4.572,4.5375
282,98.2,22.325,37.98,10.8,8.35,7.85,6.9,5.7,4.075,3.46,2.9,2.7,2.8,2.725,2.45,2.45,2.475,2.725,4.3,4.4,4.533333333,4.62,4.6125
283,98.1,22.375,37.96,10.8,8.325,7.8,6.875,5.675,4.075,3.46,2.9,2.725,2.825,2.725,2.475,2.45,2.525,2.75,4.4,4.457142857,4.570833333,4.684,4.6875
